# Program:featureCounts v2.0.1; Command:"featureCounts" "-T" "5" "-t" "CDS" "-g" "locus_tag" "-a" "../data/reference_sequences/tot_seqs.gff" "-o" "../data/rna_align/counttable_bb.txt" "-M" "../data/rna_align/1_CON_0_1_NEB_DPLEX.bam" "../data/rna_align/3_CON_2_1_NEB_DPLEX.bam" "../data/rna_align/4_CON_2_2_NEB_DPLEX.bam" "../data/rna_align/5_PNA_0_1_NEB_DPLEX.bam" "../data/rna_align/6_PNA_0_2_NEB_DPLEX.bam" "../data/rna_align/7_PNA_2_1_NEB_DPLEX.bam" "../data/rna_align/8_PNA_2_2_NEB_DPLEX.bam" "../data/rna_align/CON_0_1_RZ_DPLEX.bam" "../data/rna_align/CON_0_2_RZ_DPLEX.bam" "../data/rna_align/CON_2_1_RZ_DPLEX.bam" "../data/rna_align/CON_2_2_RZ_DPLEX.bam" "../data/rna_align/PNA_0_1_RZ_DPLEX.bam" "../data/rna_align/PNA_0_2_RZ_DPLEX.bam" "../data/rna_align/PNA_2_1_RZ_DPLEX.bam" "../data/rna_align/PNA_2_2_RZ_DPLEX.bam" 
Geneid	Chr	Start	End	Strand	Length	../data/rna_align/1_CON_0_1_NEB_DPLEX.bam	../data/rna_align/3_CON_2_1_NEB_DPLEX.bam	../data/rna_align/4_CON_2_2_NEB_DPLEX.bam	../data/rna_align/5_PNA_0_1_NEB_DPLEX.bam	../data/rna_align/6_PNA_0_2_NEB_DPLEX.bam	../data/rna_align/7_PNA_2_1_NEB_DPLEX.bam	../data/rna_align/8_PNA_2_2_NEB_DPLEX.bam	../data/rna_align/CON_0_1_RZ_DPLEX.bam	../data/rna_align/CON_0_2_RZ_DPLEX.bam	../data/rna_align/CON_2_1_RZ_DPLEX.bam	../data/rna_align/CON_2_2_RZ_DPLEX.bam	../data/rna_align/PNA_0_1_RZ_DPLEX.bam	../data/rna_align/PNA_0_2_RZ_DPLEX.bam	../data/rna_align/PNA_2_1_RZ_DPLEX.bam	../data/rna_align/PNA_2_2_RZ_DPLEX.bam
FE838_RS00275	NZ_CP040530.1	20674	21792	-	1119	131	145	153	86	90	135	66	19	7	10	16	3	6	18	4
FE838_RS00280	NZ_CP040530.1	22045	23691	-	1647	113	158	146	85	68	115	44	33	39	72	17	30	31	19	7
FE838_RS00285	NZ_CP040530.1	23772	24215	-	444	980	2182	2702	464	398	2314	920	150	9	87	189	49	43	198	66
FE838_RS00290	NZ_CP040530.1	24230	24502	-	273	347	839	935	233	184	793	301	74	33	75	102	24	28	106	22
FE838_RS00295	NZ_CP040530.1	24505	24849	-	345	708	1677	1901	402	277	1509	660	88	19	54	145	53	23	113	26
FE838_RS00300	NZ_CP040530.1	25010	25456	+	447	16	18	20	13	6	19	5	11	3	5	2	1	6	0	0
FE838_RS00305	NZ_CP040530.1	25596	25772	+	177	20	35	24	19	8	19	8	6	0	5	2	3	0	4	1
FE838_RS00310	NZ_CP040530.1	25848	26549	-	702	240	449	518	125	117	462	226	40	11	40	24	18	9	36	6
FE838_RS00315	NZ_CP040530.1	26551	28098	-	1548	1927	1105	687	1361	1084	991	618	48	25	47	22	19	23	25	8
FE838_RS00320	NZ_CP040530.1	28364	30520	-	2157	93	36	51	64	43	61	32	109	31	72	5	46	55	17	4
FE838_RS00325	NZ_CP040530.1	30778	31908	+	1131	346	161	92	216	171	126	97	6	17	39	2	8	3	17	2
FE838_RS00330	NZ_CP040530.1	31928	32476	+	549	7	7	6	7	4	15	2	90	219	343	24	93	81	69	11
FE838_RS00335	NZ_CP040530.1	32608	33045	+	438	23	22	19	79	30	222	97	2	12	9	3	12	9	18	7
FE838_RS00340	NZ_CP040530.1	33070	33942	+	873	606	306	199	523	427	666	389	9	10	16	5	10	3	47	10
FE838_RS00345	NZ_CP040530.1	33948	36641	+	2694	159	77	103	220	146	504	267	33	20	35	15	31	35	44	14
FE838_RS00350	NZ_CP040530.1	36648	37661	+	1014	156	84	75	225	145	205	122	10	4	5	7	8	5	15	10
FE838_RS00355	NZ_CP040530.1	37690	38367	-	678	32	21	12	117	68	72	24	57	153	170	29	58	47	118	16
FE838_RS00360	NZ_CP040530.1	38846	39133	+	288	10	9	4	6	5	1	7	3	0	0	0	0	0	2	0
FE838_RS00365	NZ_CP040530.1	39130	39738	+	609	74	43	35	50	58	35	22	22	3	10	7	4	9	8	1
FE838_RS00370	NZ_CP040530.1	40031	40387	+	357	34	40	52	14	19	46	20	10	3	11	11	3	8	15	0
FE838_RS00375	NZ_CP040530.1	40517	41581	-	1065	42	49	38	27	15	32	28	48	14	23	4	10	12	8	0
FE838_RS00380	NZ_CP040530.1	41708	42403	+	696	24	25	18	30	20	23	15	25	11	11	7	7	4	5	5
FE838_RS00385	NZ_CP040530.1	42444	43217	-	774	15	26	10	13	10	7	6	85	53	84	13	23	51	28	4
FE838_RS00390	NZ_CP040530.1	43305	43970	+	666	10183	3064	2972	6963	3616	4101	1449	59	20	42	10	28	24	7	16
FE838_RS00395	NZ_CP040530.1	44375	45430	-	1056	61	27	29	50	35	45	21	10	2	3	3	1	5	0	6
FE838_RS00400	NZ_CP040530.1	45625	46119	+	495	33	18	13	36	28	21	13	3	2	7	1	5	4	4	2
FE838_RS00405	NZ_CP040530.1	46106	46696	+	591	0	9	7	1	0	3	3	3	4	4	0	3	6	1	1
FE838_RS00410	NZ_CP040530.1	46740	47969	+	1230	615	583	248	696	642	284	470	8	7	19	3	8	5	12	3
FE838_RS00415	NZ_CP040530.1	47983	48552	+	570	10	9	5	17	2	12	3	15	14	10	1	10	1	2	0
FE838_RS00420	NZ_CP040530.1	48627	49343	+	717	35	20	23	36	16	32	11	5	5	3	0	2	10	1	0
FE838_RS00425	NZ_CP040530.1	49367	50365	-	999	131	65	45	95	49	66	21	9	7	10	4	9	4	2	0
FE838_RS00430	NZ_CP040530.1	50526	54107	-	3582	146	66	42	102	100	63	57	65	121	135	28	37	51	45	16
FE838_RS00435	NZ_CP040530.1	54129	55583	-	1455	51	24	36	63	39	53	28	26	8	9	3	7	8	8	0
FE838_RS00440	NZ_CP040530.1	55610	57283	-	1674	36	22	25	46	24	57	33	13	9	11	2	8	17	9	10
FE838_RS00445	NZ_CP040530.1	57301	58272	-	972	29	20	11	22	19	22	10	5	4	5	4	8	4	5	2
FE838_RS00450	NZ_CP040530.1	58304	60046	-	1743	271	170	118	207	153	149	71	16	25	36	5	9	14	3	5
FE838_RS00455	NZ_CP040530.1	60075	63437	-	3363	130	72	56	79	61	77	47	60	59	82	8	25	43	18	7
FE838_RS00460	NZ_CP040530.1	63633	64601	-	969	48	39	19	35	33	22	9	13	6	7	2	1	2	1	7
FE838_RS00465	NZ_CP040530.1	65003	65584	-	582	83	41	27	55	44	29	19	11	12	13	6	9	7	7	1
FE838_RS00470	NZ_CP040530.1	65733	68009	-	2277	275	167	158	195	170	174	94	23	22	10	7	4	15	15	6
FE838_RS00475	NZ_CP040530.1	68112	70001	-	1890	48	58	53	36	30	43	19	38	31	29	6	19	14	25	4
FE838_RS00480	NZ_CP040530.1	70035	71678	-	1644	53	52	45	26	34	62	18	54	17	16	4	24	21	11	6
FE838_RS00485	NZ_CP040530.1	71693	74683	-	2991	121	94	118	92	75	93	31	29	15	31	7	9	11	16	5
FE838_RS00490	NZ_CP040530.1	74706	75770	-	1065	43	77	40	104	67	32	55	10	1	5	7	8	2	1	4
FE838_RS00495	NZ_CP040530.1	75905	78478	-	2574	268	178	110	182	140	129	85	63	22	67	16	24	21	15	10
FE838_RS00500	NZ_CP040530.1	78814	79239	+	426	11	11	10	21	10	15	13	4	2	6	0	1	0	1	1
FE838_RS00505	NZ_CP040530.1	79349	80158	+	810	431	254	114	270	249	223	144	21	9	14	6	12	13	4	6
FE838_RS00510	NZ_CP040530.1	80173	80586	+	414	24	26	34	9	15	25	24	1	2	4	4	5	3	5	0
FE838_RS00515	NZ_CP040530.1	80583	80807	+	225	11	13	4	8	2	10	3	6	0	1	1	1	2	0	0
FE838_RS00520	NZ_CP040530.1	80883	81176	+	294	15	21	29	21	15	13	18	38	37	55	4	15	19	29	2
FE838_RS00525	NZ_CP040530.1	81160	81537	+	378	18	21	16	22	17	19	10	1	0	1	0	0	8	5	1
FE838_RS00530	NZ_CP040530.1	81532	82842	-	1311	79	50	34	41	18	23	21	10	11	11	4	4	7	5	6
FE838_RS00535	NZ_CP040530.1	82902	83876	-	975	39	40	27	100	61	59	28	37	52	53	11	9	21	14	6
FE838_RS00540	NZ_CP040530.1	83888	85162	-	1275	69	55	44	37	42	23	29	8	12	10	7	6	5	7	4
FE838_RS00545	NZ_CP040530.1	85159	85773	-	615	25	15	22	20	7	16	12	6	3	5	0	0	4	2	2
FE838_RS00550	NZ_CP040530.1	85794	86726	-	933	684	376	190	515	437	274	230	0	3	2	1	0	6	5	0
FE838_RS00555	NZ_CP040530.1	86707	87669	-	963	66	63	39	60	34	63	37	47	13	22	4	18	11	8	0
FE838_RS00560	NZ_CP040530.1	87867	89252	-	1386	57	38	30	50	26	74	28	14	52	16	7	11	7	32	6
FE838_RS00565	NZ_CP040530.1	89265	89663	-	399	43	22	10	54	35	22	6	2	3	4	0	9	1	0	1
FE838_RS00570	NZ_CP040530.1	89668	91077	-	1410	148	76	33	389	227	245	73	65	79	102	15	57	44	39	4
FE838_RS00575	NZ_CP040530.1	91134	92408	-	1275	22	20	10	25	15	18	8	22	12	16	0	18	10	6	3
FE838_RS00580	NZ_CP040530.1	92423	92833	-	411	27	21	11	25	28	17	15	6	3	4	1	8	7	10	0
FE838_RS00585	NZ_CP040530.1	93080	94243	+	1164	35	39	19	29	13	29	10	17	9	10	0	2	9	3	2
FE838_RS00590	NZ_CP040530.1	94288	96075	-	1788	40	30	31	49	28	43	21	26	23	23	8	21	27	14	9
FE838_RS00595	NZ_CP040530.1	96177	96902	+	726	16	22	23	17	11	10	9	4	2	9	0	1	2	0	0
FE838_RS00600	NZ_CP040530.1	96912	97517	-	606	7	13	6	7	4	15	10	11	15	15	0	9	2	6	1
FE838_RS00605	NZ_CP040530.1	97826	98671	+	846	41	12	18	29	14	22	8	8	3	8	0	2	9	7	1
FE838_RS00610	NZ_CP040530.1	98740	99207	+	468	5	14	3	12	15	21	1	9	7	3	3	0	6	1	10
FE838_RS00615	NZ_CP040530.1	99291	99626	-	336	110	139	135	60	17	110	58	16	3	3	8	11	5	7	1
FE838_RS00620	NZ_CP040530.1	99670	99984	-	315	69	132	147	29	25	109	59	23	5	6	17	11	0	18	0
FE838_RS00625	NZ_CP040530.1	100053	103856	-	3804	425	323	229	336	202	321	170	136	247	303	41	85	109	104	12
FE838_RS00630	NZ_CP040530.1	104018	104704	+	687	41	98	117	27	25	106	26	21	6	10	13	7	0	9	1
FE838_RS00635	NZ_CP040530.1	104715	105422	+	708	193	160	155	159	105	135	77	8	7	8	14	4	8	8	3
FE838_RS00640	NZ_CP040530.1	105489	105788	+	300	19	31	38	20	10	34	13	11	24	4	2	6	3	3	0
FE838_RS00645	NZ_CP040530.1	105843	106283	-	441	60	23	23	136	84	61	37	9	3	10	5	4	4	3	3
FE838_RS00650	NZ_CP040530.1	106286	106519	-	234	2	8	10	2	3	10	2	3	0	3	0	2	0	0	0
FE838_RS00655	NZ_CP040530.1	106587	106952	+	366	12	2	7	3	1	3	0	1	0	3	0	2	2	3	1
FE838_RS00660	NZ_CP040530.1	107003	107359	+	357	467	211	100	1162	767	311	214	171	21	111	17	63	27	32	12
FE838_RS00665	NZ_CP040530.1	107343	108107	+	765	54	44	41	57	24	47	27	9	4	8	0	4	5	0	2
FE838_RS00670	NZ_CP040530.1	108174	109871	+	1698	66	87	50	165	102	99	66	45	51	56	20	31	27	25	16
FE838_RS00675	NZ_CP040530.1	109913	110596	-	684	31	15	10	36	10	15	15	9	6	15	0	4	1	8	0
FE838_RS00680	NZ_CP040530.1	110708	112027	+	1320	9	7	10	11	9	14	7	40	7	29	8	12	7	4	7
FE838_RS00685	NZ_CP040530.1	112101	112811	+	711	35	39	43	30	19	32	17	13	23	30	2	9	12	3	2
FE838_RS00690	NZ_CP040530.1	112951	115431	+	2481	86	66	38	71	66	57	31	21	12	17	2	10	6	4	2
FE838_RS00695	NZ_CP040530.1	115437	116522	-	1086	17	13	12	12	11	10	7	8	3	4	0	3	3	0	2
FE838_RS00700	NZ_CP040530.1	116529	117488	-	960	14	15	8	11	11	10	12	16	22	21	5	10	8	10	1
FE838_RS00705	NZ_CP040530.1	117605	119653	-	2049	640	316	166	481	359	288	216	31	16	35	2	19	12	10	6
FE838_RS00710	NZ_CP040530.1	119657	119959	-	303	3	1	6	1	0	4	1	5	0	1	0	0	3	2	0
FE838_RS00715	NZ_CP040530.1	120370	121281	+	912	34	22	34	23	18	27	13	6	8	10	5	9	3	3	0
FE838_RS00720	NZ_CP040530.1	121333	121893	+	561	103	193	156	62	37	158	46	21	0	6	22	10	3	13	7
FE838_RS00725	NZ_CP040530.1	121988	122920	+	933	62	98	84	49	34	58	35	55	8	36	7	29	26	12	5
FE838_RS00730	NZ_CP040530.1	123236	124318	+	1083	104	47	31	65	44	61	22	21	11	14	6	6	8	14	2
FE838_RS00735	NZ_CP040530.1	124334	127366	+	3033	238	150	70	171	153	125	91	141	157	139	40	87	94	78	21
FE838_RS00740	NZ_CP040530.1	127363	128709	+	1347	79	66	45	38	39	71	28	17	20	4	2	6	7	2	3
FE838_RS00745	NZ_CP040530.1	128860	129954	+	1095	484	271	86	1954	1236	740	461	49	10	21	4	10	11	11	36
FE838_RS00750	NZ_CP040530.1	130077	131237	-	1161	47	45	64	37	31	63	26	18	20	18	0	9	3	3	1
FE838_RS00755	NZ_CP040530.1	131384	133018	-	1635	294	546	543	190	135	544	252	65	22	37	41	26	19	52	11
FE838_RS00760	NZ_CP040530.1	133330	135321	-	1992	190	190	191	118	105	226	90	70	45	64	15	35	39	44	18
FE838_RS00765	NZ_CP040530.1	135378	136637	-	1260	152	123	139	66	90	128	82	36	11	24	10	11	18	16	10
FE838_RS00770	NZ_CP040530.1	136745	138205	-	1461	227	270	338	165	103	346	143	30	14	29	15	10	14	11	7
FE838_RS00775	NZ_CP040530.1	138225	141104	-	2880	5562	3085	1903	3620	3145	2875	1824	51	28	30	22	13	19	27	11
FE838_RS00780	NZ_CP040530.1	141594	142094	-	501	44	96	120	29	20	92	38	7	1	4	2	0	8	0	2
FE838_RS00785	NZ_CP040530.1	142105	142797	-	693	50	145	148	48	42	110	50	11	8	16	11	1	8	13	1
FE838_RS00790	NZ_CP040530.1	142825	144321	-	1497	121	203	227	50	52	221	70	34	8	14	7	17	4	11	7
FE838_RS00795	NZ_CP040530.1	144334	147288	-	2955	779	789	784	1185	779	1044	600	315	493	480	124	216	166	296	44
FE838_RS00800	NZ_CP040530.1	148163	149353	-	1191	78	49	35	98	65	64	39	14	5	2	3	17	11	6	2
FE838_RS00805	NZ_CP040530.1	149804	152899	+	3096	809	1388	1564	546	429	1221	622	131	157	198	100	78	85	151	38
FE838_RS00810	NZ_CP040530.1	152919	154328	+	1410	200	277	411	154	117	314	149	29	2	10	20	7	15	34	3
FE838_RS00815	NZ_CP040530.1	154457	155116	-	660	86	69	49	63	55	62	23	3	10	13	2	4	2	2	4
FE838_RS00820	NZ_CP040530.1	155178	155870	-	693	8132	4205	1832	5475	4608	3542	2205	14	8	5	0	11	10	4	2
FE838_RS00825	NZ_CP040530.1	155973	156827	-	855	57	121	142	36	44	123	76	24	10	17	3	8	10	31	8
FE838_RS00830	NZ_CP040530.1	156862	157536	-	675	60	91	125	28	32	120	51	26	1	8	5	6	16	16	4
FE838_RS00835	NZ_CP040530.1	157543	158262	-	720	14525	7210	3718	10485	8311	6226	4268	153	86	171	65	66	64	57	37
FE838_RS00840	NZ_CP040530.1	158404	159003	+	600	26	23	24	16	11	35	16	8	4	5	2	1	0	4	0
FE838_RS00845	NZ_CP040530.1	159022	160155	+	1134	78	58	57	79	64	63	59	50	30	46	10	19	41	12	9
FE838_RS00855	NZ_CP040530.1	160597	161856	+	1260	45	21	14	35	13	23	10	8	12	13	2	9	7	1	0
FE838_RS00860	NZ_CP040530.1	161903	162316	+	414	17	7	7	68	46	18	10	20	37	66	3	11	12	20	6
FE838_RS00865	NZ_CP040530.1	162418	163338	+	921	275	204	91	194	180	123	89	9	11	28	0	6	17	12	2
FE838_RS00870	NZ_CP040530.1	163340	163714	+	375	19	8	13	14	11	13	13	0	4	1	0	1	1	0	1
FE838_RS00875	NZ_CP040530.1	163901	164173	-	273	20	5	11	79	32	58	29	2	0	4	0	2	1	5	0
FE838_RS00880	NZ_CP040530.1	164740	165003	+	264	10	5	0	6	4	2	2	5	0	2	0	0	5	0	0
FE838_RS00885	NZ_CP040530.1	165015	165503	+	489	15	20	3	17	8	10	4	1	6	0	1	0	1	2	0
FE838_RS00890	NZ_CP040530.1	165510	165728	+	219	48	23	5	209	120	55	31	82	242	204	25	68	76	46	5
FE838_RS00895	NZ_CP040530.1	165747	166004	+	258	12	9	3	9	6	7	1	1	1	3	1	1	1	0	0
FE838_RS00900	NZ_CP040530.1	166025	166612	+	588	6319	3033	1472	4331	3445	2433	1845	27	20	52	3	18	18	6	3
FE838_RS00905	NZ_CP040530.1	166640	166858	+	219	4240	2147	1066	2830	2709	1659	1304	4	0	3	0	0	0	0	1
FE838_RS00910	NZ_CP040530.1	166982	167428	-	447	9	4	3	5	4	4	2	1	0	8	0	0	2	1	0
FE838_RS00915	NZ_CP040530.1	167444	168028	-	585	10	6	6	22	10	19	5	23	12	18	8	2	11	8	2
FE838_RS00920	NZ_CP040530.1	168030	169049	-	1020	25	14	4	13	14	17	10	11	31	20	4	10	8	13	3
FE838_RS00925	NZ_CP040530.1	169091	170416	-	1326	25	5	17	47	21	35	12	23	11	17	2	15	4	3	6
FE838_RS00930	NZ_CP040530.1	170364	170690	-	327	3	3	0	4	2	6	0	3	7	4	0	1	2	1	0
FE838_RS00935	NZ_CP040530.1	170709	171332	-	624	8	3	3	8	3	1	0	5	2	6	0	1	3	0	0
FE838_RS00940	NZ_CP040530.1	171356	172363	-	1008	129	67	25	81	66	59	26	5	5	3	3	6	3	5	2
FE838_RS00945	NZ_CP040530.1	172365	172994	-	630	17	3	8	23	22	10	9	3	6	2	1	6	0	4	0
FE838_RS00950	NZ_CP040530.1	173072	173344	-	273	62	22	18	29	22	22	17	4	4	5	3	4	8	1	1
FE838_RS00955	NZ_CP040530.1	173351	173953	-	603	32	12	13	27	16	20	11	15	11	4	0	5	9	6	5
FE838_RS00960	NZ_CP040530.1	173956	175614	-	1659	22304	10785	5211	17653	13247	9369	6822	128	25	49	18	50	49	27	19
FE838_RS00965	NZ_CP040530.1	176244	178265	-	2022	431	210	80	399	293	177	127	70	41	73	8	47	45	20	7
FE838_RS00970	NZ_CP040530.1	178250	178585	-	336	6	4	2	10	1	6	2	2	4	4	4	5	2	2	0
FE838_RS00975	NZ_CP040530.1	178617	178916	-	300	573	340	162	454	362	272	194	4	0	4	1	0	1	3	0
FE838_RS00980	NZ_CP040530.1	179062	179784	-	723	164	68	35	85	88	55	35	5	4	0	0	2	5	3	0
FE838_RS00985	NZ_CP040530.1	179797	180159	-	363	0	2	2	6	2	1	1	2	0	0	0	2	1	0	0
FE838_RS00990	NZ_CP040530.1	180163	180858	-	696	13	12	5	16	9	6	7	39	93	72	14	40	16	33	6
FE838_RS24305	NZ_CP040530.1	180752	181282	-	531	37	34	9	35	36	22	9	2	2	3	1	1	2	1	1
FE838_RS01000	NZ_CP040530.1	181294	181707	-	414	19	11	4	4	15	12	7	5	4	11	1	6	16	7	4
FE838_RS01005	NZ_CP040530.1	181721	182167	+	447	6	10	2	18	3	13	7	21	5	6	0	6	2	3	0
FE838_RS01010	NZ_CP040530.1	182142	183368	+	1227	6202	2972	1585	3825	3114	2366	1524	210	91	232	67	91	119	48	34
FE838_RS01015	NZ_CP040530.1	183418	185427	+	2010	656	305	144	432	292	261	153	67	67	61	14	17	40	9	2
FE838_RS01020	NZ_CP040530.1	185484	186104	-	621	27999	14077	8055	18881	15137	13064	6952	29	9	16	4	11	20	3	11
FE838_RS01025	NZ_CP040530.1	186209	187045	-	837	35	26	32	41	16	57	17	4	4	13	1	2	7	7	0
FE838_RS01030	NZ_CP040530.1	187086	187358	-	273	13	6	5	8	6	12	3	1	0	9	0	0	1	0	2
FE838_RS01035	NZ_CP040530.1	187444	187956	-	513	7	7	7	11	4	6	1	8	9	8	1	5	5	5	0
FE838_RS01040	NZ_CP040530.1	187961	189235	-	1275	92	79	45	93	57	89	34	16	28	36	2	6	8	11	4
FE838_RS01045	NZ_CP040530.1	189242	189682	-	441	17	6	6	18	10	11	3	4	6	3	4	0	6	2	1
FE838_RS01050	NZ_CP040530.1	189712	190590	-	879	11	7	11	16	6	11	5	23	23	19	6	11	4	4	1
FE838_RS01055	NZ_CP040530.1	190977	191198	+	222	13	5	7	5	4	5	2	6	3	2	3	2	22	5	0
FE838_RS01060	NZ_CP040530.1	191494	191865	-	372	42	20	17	72	54	49	19	148	275	333	56	113	129	118	23
FE838_RS01065	NZ_CP040530.1	191883	192365	-	483	20	11	8	6	12	6	8	6	5	5	1	1	2	2	0
FE838_RS01070	NZ_CP040530.1	192479	195145	-	2667	1069	501	223	589	497	419	231	51	41	56	9	32	29	18	0
FE838_RS01075	NZ_CP040530.1	195393	196541	-	1149	53	32	17	48	26	51	21	13	14	17	1	2	12	2	1
FE838_RS01080	NZ_CP040530.1	196635	197576	-	942	298	168	124	233	139	168	87	13	13	14	2	2	5	6	4
FE838_RS01085	NZ_CP040530.1	197573	198865	-	1293	66	51	28	68	30	52	16	28	16	12	6	10	16	12	6
FE838_RS01090	NZ_CP040530.1	199102	199977	+	876	38	28	17	19	21	17	14	6	1	4	1	1	3	1	2
FE838_RS01095	NZ_CP040530.1	200197	201399	-	1203	19	15	22	30	12	20	6	8	4	13	4	4	8	2	5
FE838_RS01100	NZ_CP040530.1	202097	203425	+	1329	91	51	41	93	93	75	31	7	13	12	0	9	7	7	1
FE838_RS01105	NZ_CP040530.1	203452	205551	+	2100	87	52	41	52	51	56	21	29	45	33	7	17	20	14	2
FE838_RS01110	NZ_CP040530.1	205590	206057	+	468	8	5	4	4	9	7	6	6	3	6	1	2	2	1	2
FE838_RS01115	NZ_CP040530.1	206047	211773	+	5727	358	251	120	357	206	196	133	345	497	619	102	245	185	202	55
FE838_RS01120	NZ_CP040530.1	212053	212592	-	540	6	9	7	4	5	11	7	5	1	5	4	4	1	0	3
FE838_RS01125	NZ_CP040530.1	212576	213307	-	732	85	35	34	68	44	45	21	5	8	9	4	4	6	3	3
FE838_RS01130	NZ_CP040530.1	213341	214060	-	720	27	18	19	18	18	15	14	8	6	3	2	2	9	1	1
FE838_RS01135	NZ_CP040530.1	214080	216797	-	2718	577	338	217	398	323	259	219	24	42	34	12	15	14	17	17
FE838_RS24310	NZ_CP040530.1	216803	217120	-	318	11	14	6	9	6	13	9	24	36	34	2	11	9	17	2
FE838_RS01140	NZ_CP040530.1	217375	217728	-	354	31	10	10	34	17	13	10	2	1	2	0	0	0	0	3
FE838_RS01145	NZ_CP040530.1	217741	219786	-	2046	2145	1066	528	1468	1087	858	506	375	242	737	124	113	171	63	30
FE838_RS01150	NZ_CP040530.1	219770	220114	-	345	37	12	11	28	16	18	17	0	0	1	1	2	1	4	1
FE838_RS01155	NZ_CP040530.1	220776	221567	+	792	8	10	1	7	7	4	2	7	4	8	0	1	3	0	0
FE838_RS01160	NZ_CP040530.1	221693	221986	-	294	6	2	1	3	0	1	0	1	3	2	0	2	8	0	3
FE838_RS01165	NZ_CP040530.1	222040	222333	-	294	33	16	14	21	15	9	12	4	3	3	1	4	1	0	1
FE838_RS01170	NZ_CP040530.1	222612	223427	+	816	42	20	6	26	20	17	5	1	4	2	2	1	3	2	1
