# Program:featureCounts v2.0.1; Command:"featureCounts" "-T" "5" "-t" "tRNA" "-g" "locus_tag" "-a" "../data/reference_sequences/tot_seqs.gff" "-o" "../data/rna_align/tRNA_counttable_bb.txt" "../data/rna_align/1_CON_0_1_NEB_DPLEX.bam" "../data/rna_align/3_CON_2_1_NEB_DPLEX.bam" "../data/rna_align/4_CON_2_2_NEB_DPLEX.bam" "../data/rna_align/5_PNA_0_1_NEB_DPLEX.bam" "../data/rna_align/6_PNA_0_2_NEB_DPLEX.bam" "../data/rna_align/7_PNA_2_1_NEB_DPLEX.bam" "../data/rna_align/8_PNA_2_2_NEB_DPLEX.bam" "../data/rna_align/CON_0_1_RZ_DPLEX.bam" "../data/rna_align/CON_0_2_RZ_DPLEX.bam" "../data/rna_align/CON_2_1_RZ_DPLEX.bam" "../data/rna_align/CON_2_2_RZ_DPLEX.bam" "../data/rna_align/PNA_0_1_RZ_DPLEX.bam" "../data/rna_align/PNA_0_2_RZ_DPLEX.bam" "../data/rna_align/PNA_2_1_RZ_DPLEX.bam" "../data/rna_align/PNA_2_2_RZ_DPLEX.bam" 
Geneid	Chr	Start	End	Strand	Length	../data/rna_align/1_CON_0_1_NEB_DPLEX.bam	../data/rna_align/3_CON_2_1_NEB_DPLEX.bam	../data/rna_align/4_CON_2_2_NEB_DPLEX.bam	../data/rna_align/5_PNA_0_1_NEB_DPLEX.bam	../data/rna_align/6_PNA_0_2_NEB_DPLEX.bam	../data/rna_align/7_PNA_2_1_NEB_DPLEX.bam	../data/rna_align/8_PNA_2_2_NEB_DPLEX.bam	../data/rna_align/CON_0_1_RZ_DPLEX.bam	../data/rna_align/CON_0_2_RZ_DPLEX.bam	../data/rna_align/CON_2_1_RZ_DPLEX.bam	../data/rna_align/CON_2_2_RZ_DPLEX.bam	../data/rna_align/PNA_0_1_RZ_DPLEX.bam	../data/rna_align/PNA_0_2_RZ_DPLEX.bam	../data/rna_align/PNA_2_1_RZ_DPLEX.bam	../data/rna_align/PNA_2_2_RZ_DPLEX.bam
FE838_RS04435	NZ_CP040530.1	1060181	1060254	+	74	32	50	26	26	56	22	12	621	187	479	129	367	340	156	56
FE838_RS05680	NZ_CP040530.1	1423495	1423568	+	74	43	79	42	51	49	71	28	26	4	27	5	7	12	8	4
FE838_RS06680	NZ_CP040530.1	1723517	1723588	-	72	150	387	160	104	94	245	146	211	30	106	46	62	75	100	30
FE838_RS07375	NZ_CP040530.1	1931150	1931231	-	82	13	16	7	14	11	11	2	53	21	24	4	10	15	9	4
FE838_RS08145	NZ_CP040530.1	2145395	2145467	+	73	146	221	139	141	111	234	103	324	130	244	33	190	176	65	23
FE838_RS08150	NZ_CP040530.1	2145482	2145565	+	84	230	691	338	157	100	381	206	185	12	229	74	24	26	51	34
FE838_RS08330	NZ_CP040530.1	2192272	2192344	-	73	717	1687	698	589	509	1458	778	237	76	210	42	83	94	39	22
FE838_RS08645	NZ_CP040530.1	2286495	2286568	+	74	361	817	869	223	199	891	408	73	30	60	29	35	21	44	17
FE838_RS08650	NZ_CP040530.1	2286623	2286696	+	74	1138	3319	1405	887	686	2182	1626	155	27	161	19	32	34	27	16
FE838_RS08850	NZ_CP040530.1	2344771	2344845	+	75	263	167	81	727	381	333	151	284	265	245	40	136	197	106	23
FE838_RS08855	NZ_CP040530.1	2344878	2344952	+	75	4	2	2	7	2	0	0	3	0	0	0	2	1	0	0
FE838_RS09360	NZ_CP040530.1	2475870	2475943	-	74	12	25	7	98	35	23	11	36	16	11	1	10	14	5	5
FE838_RS09540	NZ_CP040530.1	2523979	2524049	+	71	453	1207	695	385	267	901	372	137	57	238	37	38	38	79	25
FE838_RS10770	NZ_CP040530.1	2905918	2905990	-	73	3	6	4	2	8	9	4	4	0	1	4	0	2	1	2
FE838_RS10775	NZ_CP040530.1	2905999	2906081	-	83	20	48	34	17	10	47	21	36	11	59	10	9	8	26	6
FE838_RS11845	NZ_CP040530.1	3179161	3179233	-	73	3	3	2	1	3	7	3	13	4	10	6	17	11	6	4
FE838_RS12330	NZ_CP040530.1	3287763	3287836	+	74	111	281	196	129	120	250	127	84	17	45	39	23	18	53	9
FE838_RS12900	NZ_CP040530.1	3439609	3439693	+	85	964	3081	1704	525	496	1966	991	1046	121	1270	300	254	196	308	217
FE838_RS13190	NZ_CP040530.1	3518515	3518599	+	85	11	11	3	7	2	9	11	17	4	7	3	3	0	1	1
FE838_RS14065	NZ_CP040530.1	3689485	3689572	+	88	51	55	32	35	24	32	27	79	48	84	21	87	43	20	18
FE838_RS15585	NZ_CP040530.1	4098314	4098386	-	73	37	47	12	35	24	35	23	151	61	116	18	79	69	34	9
FE838_RS16815	NZ_CP040530.1	4413670	4413742	+	73	25	81	71	14	10	70	37	1	4	1	5	0	3	3	0
FE838_RS16820	NZ_CP040530.1	4413777	4413858	+	82	138	278	147	81	79	169	110	681	211	459	107	270	311	169	38
FE838_RS16825	NZ_CP040530.1	4413883	4413966	+	84	310	509	355	232	192	385	149	326	49	229	44	90	53	57	28
FE838_RS16830	NZ_CP040530.1	4413985	4414057	+	73	1	7	6	3	3	12	1	0	0	2	0	0	1	0	0
FE838_RS16835	NZ_CP040530.1	4414090	4414171	+	82	12	12	18	8	2	16	3	7	1	3	3	9	4	4	1
FE838_RS16840	NZ_CP040530.1	4414210	4414282	+	73	11	33	28	7	6	13	21	1	2	1	1	4	1	3	4
FE838_RS17285	NZ_CP040530.1	4529928	4530001	+	74	11	13	6	18	10	21	5	473	157	360	50	220	358	81	25
FE838_RS17585	NZ_CP040530.1	4594050	4594122	+	73	79	98	34	470	348	228	106	450	215	417	63	230	289	115	41
FE838_RS17590	NZ_CP040530.1	4594154	4594226	+	73	1	0	0	0	1	0	0	3	0	2	0	0	0	0	1
FE838_RS17735	NZ_CP040530.1	4619438	4619512	-	75	24	51	26	3	14	29	18	40	10	14	10	6	12	11	1
FE838_RS17740	NZ_CP040530.1	4619547	4619621	-	75	27	34	41	8	15	46	13	21	1	9	11	7	0	14	1
FE838_RS17960	NZ_CP040530.1	4677940	4678016	-	77	116	392	251	136	90	263	143	36	4	32	12	8	2	16	8
FE838_RS17965	NZ_CP040530.1	4678037	4678110	-	74	43	177	69	54	37	104	68	33	0	15	8	14	8	12	3
FE838_RS17970	NZ_CP040530.1	4678131	4678204	-	74	3	6	10	6	9	16	5	8	0	0	0	0	0	1	2
FE838_RS18275	NZ_CP040530.1	4741559	4741631	-	73	24	67	48	15	14	64	24	101	35	63	5	25	39	22	10
FE838_RS18890	NZ_CP040530.1	4941826	4941899	-	74	215	460	237	171	148	350	179	149	20	111	28	39	59	49	30
FE838_RS19455	NZ_CP040530.1	5061314	5061386	+	73	2	1	7	1	0	2	3	2	0	2	3	2	1	1	0
FE838_RS19675	NZ_CP040530.1	5112239	5112325	+	87	430	1090	654	219	220	656	329	1088	120	1197	230	259	202	281	154
FE838_RS19680	NZ_CP040530.1	5112392	5112463	+	72	49	60	24	63	68	44	25	25	4	25	4	5	5	3	7
FE838_RS20055	NZ_CP040530.1	5207868	5207944	-	77	1984	5260	4010	1333	1045	4988	2170	285	34	248	116	59	56	119	62
FE838_RS20060	NZ_CP040530.1	5208023	5208096	-	74	33	51	56	11	14	46	26	7	0	1	0	0	2	1	0
FE838_RS20445	NZ_CP040530.1	5287942	5288015	+	74	116	156	137	84	109	155	86	842	386	744	134	522	486	258	110
FE838_RS20450	NZ_CP040530.1	5288069	5288142	+	74	336	865	448	279	202	786	353	46	6	49	7	8	9	22	12
FE838_RS21465	NZ_CP040530.1	5524876	5524949	+	74	0	0	0	2	0	1	1	2	0	3	2	0	0	0	0
FE838_RS21505	NZ_CP040530.1	5533722	5533793	-	72	200	463	187	182	146	369	165	28	3	37	3	10	14	11	3
FE838_RS21595	NZ_CP040530.1	5558792	5558870	+	79	805	2616	1455	695	519	2124	1012	272	64	343	78	93	81	81	53
FE838_RS21890	NZ_CP040530.1	5636857	5636930	+	74	11	35	9	21	7	11	16	44	20	47	4	13	10	6	0
FE838_RS22895	NZ_CP040530.1	5918420	5918496	-	77	271	533	847	147	94	758	205	9	1	2	10	6	1	5	8
FE838_RS22900	NZ_CP040530.1	5918551	5918624	-	74	8	19	28	5	8	7	10	1	2	0	0	0	0	0	0
FE838_RS22980	NZ_CP040530.1	5944067	5944139	+	73	0	4	0	1	0	1	3	0	0	0	2	0	1	0	3
FE838_RS23845	NZ_CP040530.1	6149413	6149500	-	88	45	141	58	37	31	81	51	112	128	158	30	66	111	79	23
FE838_RS24215	NZ_CP040530.1	6254518	6254590	-	73	12	17	9	7	9	16	9	10	4	19	0	3	2	4	1
Bovatus_RS01380	NZ_CP012938.1	359954	360026	+	73	0	2	2	1	3	0	2	18	1	19	1	0	4	5	0
Bovatus_RS01675	NZ_CP012938.1	447648	447722	-	75	132	190	134	368	190	357	120	43	6	23	15	11	16	21	16
Bovatus_RS01680	NZ_CP012938.1	447788	447874	-	87	232	742	412	141	98	384	281	582	38	681	126	63	36	142	60
Bovatus_RS25355	NZ_CP012938.1	475085	475218	+	134	21	6	9	7	6	7	8	21	11	10	2	8	15	4	3
Bovatus_RS01830	NZ_CP012938.1	475977	476047	+	71	1	1	0	4	1	6	4	110	48	63	18	48	46	24	10
Bovatus_RS25360	NZ_CP012938.1	476140	476237	+	98	0	1	2	1	1	1	4	14	4	7	3	5	5	1	0
Bovatus_RS25365	NZ_CP012938.1	476465	476531	+	67	6	8	3	8	4	6	3	17	5	3	0	3	8	5	3
Bovatus_RS25370	NZ_CP012938.1	476633	476715	+	83	1	4	2	10	6	3	1	47	14	12	7	14	19	7	2
Bovatus_RS02305	NZ_CP012938.1	564894	564966	-	73	58	124	66	37	41	104	52	53	3	69	17	9	9	24	19
Bovatus_RS02650	NZ_CP012938.1	644161	644234	+	74	16	60	36	9	5	50	24	23	0	33	10	5	1	6	10
Bovatus_RS03470	NZ_CP012938.1	898172	898244	+	73	15	21	17	8	19	25	6	98	37	46	8	41	33	22	7
Bovatus_RS03640	NZ_CP012938.1	941292	941365	+	74	74	206	168	63	45	206	80	11	2	18	9	10	0	16	3
Bovatus_RS03645	NZ_CP012938.1	941386	941459	+	74	24	66	74	13	16	82	46	13	0	11	5	5	0	14	9
Bovatus_RS03650	NZ_CP012938.1	941489	941562	+	74	12	79	75	19	21	76	34	10	2	11	5	7	0	11	6
Bovatus_RS03850	NZ_CP012938.1	989505	989579	+	75	91	253	204	51	67	227	104	78	8	73	36	32	25	61	31
Bovatus_RS03855	NZ_CP012938.1	989615	989689	+	75	25	47	48	25	17	54	39	7	2	2	4	9	4	14	5
Bovatus_RS03945	NZ_CP012938.1	1009052	1009124	-	73	46	98	64	27	19	99	44	208	61	101	22	60	96	19	13
Bovatus_RS03950	NZ_CP012938.1	1009157	1009229	-	73	81	143	133	33	36	152	103	248	55	184	68	107	90	92	51
Bovatus_RS04205	NZ_CP012938.1	1062710	1062783	+	74	25	62	22	14	7	23	14	61	4	27	4	5	12	6	8
Bovatus_RS04735	NZ_CP012938.1	1197757	1197832	-	76	1186	3358	1985	1167	872	3449	1582	531	134	346	119	170	145	111	146
Bovatus_RS04740	NZ_CP012938.1	1197870	1197951	-	82	427	1123	516	282	244	813	459	373	40	387	64	112	78	145	83
Bovatus_RS04745	NZ_CP012938.1	1197984	1198056	-	73	45	108	84	17	23	95	86	4	0	4	2	1	0	13	1
Bovatus_RS04750	NZ_CP012938.1	1198076	1198159	-	84	921	2721	1600	512	408	1785	991	491	48	543	160	86	51	179	120
Bovatus_RS04755	NZ_CP012938.1	1198183	1198264	-	82	96	198	200	42	33	187	157	29	2	18	20	4	3	31	7
Bovatus_RS04760	NZ_CP012938.1	1198299	1198371	-	73	10	13	11	2	6	14	11	1	0	0	1	0	0	0	0
Bovatus_RS06430	NZ_CP012938.1	1578665	1578738	-	74	137	255	423	69	72	324	179	3	1	3	4	1	4	1	1
Bovatus_RS06435	NZ_CP012938.1	1578802	1578878	-	77	1008	2045	2693	499	426	2444	1258	138	14	69	51	55	11	74	16
Bovatus_RS06925	NZ_CP012938.1	1698521	1698594	+	74	235	680	549	118	116	564	321	88	13	61	52	52	20	102	42
Bovatus_RS06930	NZ_CP012938.1	1698650	1698723	+	74	96	223	234	47	56	240	120	21	0	12	10	3	3	22	26
Bovatus_RS25375	NZ_CP012938.1	1764388	1764507	-	120	23	50	45	166	83	91	43	107	57	93	19	39	79	21	9
Bovatus_RS08140	NZ_CP012938.1	2003956	2004029	+	74	0	0	5	1	2	5	3	1	2	0	0	0	0	1	0
Bovatus_RS08170	NZ_CP012938.1	2010925	2010996	-	72	15	17	8	9	5	16	17	8	5	8	4	5	0	9	3
Bovatus_RS08235	NZ_CP012938.1	2029208	2029283	+	76	38	79	51	15	20	62	42	33	0	30	16	9	2	28	15
Bovatus_RS08470	NZ_CP012938.1	2103802	2103875	+	74	16	67	24	13	10	34	14	26	3	25	1	3	1	5	0
Bovatus_RS09365	NZ_CP012938.1	2351718	2351794	-	77	553	1230	1576	284	221	1330	800	35	2	21	33	8	1	26	19
Bovatus_RS09370	NZ_CP012938.1	2351853	2351929	-	77	224	561	623	131	143	559	388	21	0	11	16	10	5	17	5
Bovatus_RS10200	NZ_CP012938.1	2560777	2560864	-	88	17	54	36	17	7	35	32	24	18	32	5	16	11	8	4
Bovatus_RS10685	NZ_CP012938.1	2688067	2688138	-	72	215	370	249	245	167	334	186	124	147	146	17	47	61	72	35
Bovatus_RS11395	NZ_CP012938.1	2863574	2863646	+	73	35	69	46	27	31	80	37	17	1	27	13	6	3	15	17
Bovatus_RS11675	NZ_CP012938.1	2930354	2930430	+	77	17	81	59	26	18	67	24	18	1	26	20	7	2	29	17
Bovatus_RS11795	NZ_CP012938.1	2956135	2956208	-	74	167	413	497	78	76	435	274	1	1	3	3	3	0	11	3
Bovatus_RS11800	NZ_CP012938.1	2956278	2956354	-	77	152	305	333	69	37	286	190	17	1	7	4	4	3	14	1
Bovatus_RS11945	NZ_CP012938.1	3001334	3001406	+	73	21	41	23	10	11	41	37	33	2	11	7	4	0	35	13
Bovatus_RS13175	NZ_CP012938.1	3337717	3337789	+	73	1	14	10	4	0	5	7	7	0	0	7	2	1	6	0
Bovatus_RS13180	NZ_CP012938.1	3337803	3337875	+	73	0	1	4	1	0	3	1	3	0	2	1	0	2	4	5
Bovatus_RS13255	NZ_CP012938.1	3352267	3352343	-	77	301	707	935	139	170	783	469	2	0	2	1	3	0	3	12
Bovatus_RS13260	NZ_CP012938.1	3352402	3352478	-	77	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0
Bovatus_RS13605	NZ_CP012938.1	3427325	3427397	-	73	143	323	361	62	49	307	217	35	9	14	75	13	6	83	27
Bovatus_RS13615	NZ_CP012938.1	3428686	3428757	-	72	174	399	424	88	113	345	238	356	177	314	75	213	176	139	51
Bovatus_RS13620	NZ_CP012938.1	3428768	3428840	-	73	36	70	91	24	27	40	43	25	0	7	4	14	1	19	10
Bovatus_RS13625	NZ_CP012938.1	3428869	3428951	-	83	38	178	127	31	36	121	79	23	2	27	24	5	3	29	17
Bovatus_RS13630	NZ_CP012938.1	3429037	3429110	-	74	126	327	336	65	65	319	182	36	3	29	41	9	2	45	16
Bovatus_RS13790	NZ_CP012938.1	3467333	3467416	+	84	11	33	17	7	9	14	9	53	3	61	13	11	5	22	16
Bovatus_RS13930	NZ_CP012938.1	3504701	3504774	+	74	15	72	59	13	23	62	32	24	2	7	14	7	5	23	15
Bovatus_RS13935	NZ_CP012938.1	3504803	3504876	+	74	12	29	40	14	7	21	16	6	1	34	9	1	0	8	4
Bovatus_RS14190	NZ_CP012938.1	3586668	3586739	-	72	76	155	140	39	26	164	96	15	0	11	12	0	3	23	11
Bovatus_RS14725	NZ_CP012938.1	3734857	3734930	+	74	241	771	334	174	167	494	278	226	171	261	55	144	133	130	25
Bovatus_RS16095	NZ_CP012938.1	4175446	4175516	+	71	145	457	269	149	134	490	244	85	4	80	34	18	11	43	21
Bovatus_RS17350	NZ_CP012938.1	4526901	4526972	-	72	110	309	308	67	38	204	136	121	5	122	87	36	10	106	38
Bovatus_RS17975	NZ_CP012938.1	4712196	4712277	-	82	64	97	57	21	36	63	48	46	4	64	8	14	5	13	8
Bovatus_RS18745	NZ_CP012938.1	4946960	4947032	+	73	20	62	60	4	10	68	44	13	2	13	5	14	2	17	1
Bovatus_RS18750	NZ_CP012938.1	4947049	4947132	+	84	30	42	41	12	10	74	26	11	0	8	12	2	1	21	3
Bovatus_RS19045	NZ_CP012938.1	5046857	5046929	-	73	4	15	10	4	3	14	7	3	0	4	0	0	0	0	0
Bovatus_RS19295	NZ_CP012938.1	5128919	5128995	+	77	3	15	8	4	2	24	10	0	0	0	0	0	0	0	0
Bovatus_RS19300	NZ_CP012938.1	5129059	5129132	+	74	322	648	886	150	98	829	438	7	1	0	3	2	5	5	0
Bovatus_RS19460	NZ_CP012938.1	5171709	5171783	+	75	311	620	346	114	172	404	216	418	145	418	81	134	205	92	58
Bovatus_RS19465	NZ_CP012938.1	5171819	5171893	+	75	7	31	20	4	6	18	16	23	1	16	12	6	6	15	9
Bovatus_RS20145	NZ_CP012938.1	5341574	5341648	-	75	55	138	64	27	27	78	66	86	23	63	7	40	44	15	6
Bovatus_RS21000	NZ_CP012938.1	5521736	5521806	+	71	4	27	18	3	5	32	14	17	2	23	12	1	0	19	6
Bovatus_RS22115	NZ_CP012938.1	5884492	5884564	-	73	2	30	31	5	4	11	17	29	0	12	5	5	1	11	8
Bovatus_RS22120	NZ_CP012938.1	5884573	5884655	-	83	9	17	13	9	2	15	7	10	4	4	4	6	0	2	3
Bovatus_RS22950	NZ_CP012938.1	6092146	6092218	-	73	4	14	9	2	2	12	6	2	1	0	1	0	6	6	4
Bovatus_RS23345	NZ_CP012938.1	6176645	6176718	+	74	32	105	87	21	30	73	70	111	12	49	54	25	7	82	43
Bovatus_RS24120	NZ_CP012938.1	6374969	6375053	+	85	21	71	60	14	8	42	20	13	1	28	6	4	1	7	8
Bovatus_RS24380	NZ_CP012938.1	6438535	6438619	+	85	39	119	102	17	37	101	50	39	2	35	23	4	4	35	10
Bovatus_RS24385	NZ_CP012938.1	6438686	6438773	+	88	125	281	243	77	71	315	164	134	12	116	35	31	21	72	43
LK433_RS00005	NZ_CP085932.1	142	215	-	74	16	22	10	8	7	14	6	122	30	86	8	83	71	19	11
LK433_RS00575	NZ_CP085932.1	134807	134879	-	73	1077	600	418	4149	2605	2093	783	381	92	201	98	174	152	68	46
LK433_RS00585	NZ_CP085932.1	136208	136279	-	72	448	592	746	224	158	417	232	85	17	58	85	39	42	54	23
LK433_RS00590	NZ_CP085932.1	136294	136366	-	73	113	171	86	105	59	119	57	65	11	51	5	5	11	6	3
LK433_RS00595	NZ_CP085932.1	136380	136461	-	82	42	69	54	25	32	30	19	49	4	33	10	9	4	9	1
LK433_RS00600	NZ_CP085932.1	136477	136550	-	74	68	41	48	20	14	49	23	13	0	0	10	3	0	5	0
LK433_RS01070	NZ_CP085932.1	255953	256025	-	73	12	21	8	16	11	10	4	30	20	26	6	15	25	3	2
LK433_RS01075	NZ_CP085932.1	256181	256256	+	76	2	6	1	11	4	7	1	196	29	38	6	18	60	7	18
LK433_RS01505	NZ_CP085932.1	363316	363400	+	85	10	4	1	28	11	7	3	15	4	12	3	7	5	5	1
LK433_RS01585	NZ_CP085932.1	388648	388721	+	74	60	74	49	26	18	34	10	167	68	138	29	81	69	36	10
LK433_RS01590	NZ_CP085932.1	388772	388845	+	74	8	9	5	2	3	3	1	8	0	1	5	5	2	4	1
LK433_RS01665	NZ_CP085932.1	408274	408347	+	74	0	1	1	0	0	0	0	2	1	0	0	3	2	4	1
LK433_RS02555	NZ_CP085932.1	628767	628840	+	74	565	573	708	346	280	451	208	75	15	33	14	26	19	15	3
LK433_RS02560	NZ_CP085932.1	628904	628977	+	74	532	560	539	558	412	458	278	335	144	206	40	156	190	78	13
LK433_RS02905	NZ_CP085932.1	709712	709782	+	71	21	46	11	22	16	27	12	5	1	1	2	1	2	5	1
LK433_RS02935	NZ_CP085932.1	716762	716833	-	72	10	12	4	12	10	6	5	41	9	12	4	1	4	0	0
LK433_RS02985	NZ_CP085932.1	732260	732345	-	86	31	23	13	22	18	17	10	200	70	131	19	76	92	51	20
LK433_RS02990	NZ_CP085932.1	732366	732438	-	73	325	538	238	310	231	487	242	336	94	266	43	152	181	29	31
LK433_RS03730	NZ_CP085932.1	920460	920541	-	82	9	12	3	7	3	2	3	161	37	83	13	70	72	23	9
LK433_RS05040	NZ_CP085932.1	1232131	1232204	+	74	1	0	4	1	0	1	0	0	0	0	0	0	1	2	0
LK433_RS05045	NZ_CP085932.1	1232268	1232341	+	74	0	0	3	0	0	1	0	36	38	44	2	47	37	6	0
LK433_RS05160	NZ_CP085932.1	1259487	1259561	+	75	78	37	42	30	28	36	9	70	29	31	11	11	24	4	6
LK433_RS05165	NZ_CP085932.1	1259613	1259687	+	75	48	39	18	13	21	12	12	18	3	17	2	3	4	4	1
LK433_RS05755	NZ_CP085932.1	1408131	1408212	-	82	3	1	1	2	0	1	1	3	0	2	1	0	0	0	0
LK433_RS06035	NZ_CP085932.1	1468077	1468147	+	71	415	616	344	277	216	336	144	106	27	112	17	23	25	28	13
LK433_RS06040	NZ_CP085932.1	1468173	1468243	+	71	15	12	9	3	6	3	3	2	0	0	1	1	0	0	0
LK433_RS06450	NZ_CP085932.1	1566921	1566994	-	74	6	24	10	7	5	9	5	27	37	57	13	8	32	24	5
LK433_RS07615	NZ_CP085932.1	1848646	1848719	+	74	103	98	48	225	167	195	87	378	103	259	34	170	227	38	36
LK433_RS07620	NZ_CP085932.1	1848759	1848832	+	74	1	5	3	1	6	5	2	4	4	2	1	1	2	0	1
LK433_RS07865	NZ_CP085932.1	1907619	1907691	+	73	66	86	79	51	35	29	28	88	24	53	10	33	24	10	5
LK433_RS07870	NZ_CP085932.1	1907752	1907835	+	84	450	849	439	244	232	484	252	214	37	188	52	40	20	43	24
LK433_RS07875	NZ_CP085932.1	1907856	1907928	+	73	26	21	32	13	7	20	10	4	2	1	0	0	0	0	0
LK433_RS07880	NZ_CP085932.1	1907970	1908051	+	82	161	254	165	104	86	182	70	68	22	58	23	24	28	21	2
LK433_RS07885	NZ_CP085932.1	1908076	1908159	+	84	32	31	31	15	19	22	23	13	0	4	1	6	0	1	0
LK433_RS07890	NZ_CP085932.1	1908180	1908252	+	73	10	15	10	8	12	17	6	10	0	4	1	2	0	1	0
LK433_RS08320	NZ_CP085932.1	1994044	1994116	+	73	33	16	18	18	25	28	7	124	68	99	5	61	188	51	23
LK433_RS08575	NZ_CP085932.1	2044495	2044565	-	71	15	16	8	12	13	13	3	6	1	3	0	0	1	3	2
LK433_RS09160	NZ_CP085932.1	2173491	2173565	+	75	29	23	16	18	18	12	8	81	23	46	11	45	61	13	8
LK433_RS09420	NZ_CP085932.1	2231095	2231167	+	73	10	1	9	85	67	57	13	89	37	78	20	77	46	24	8
LK433_RS09425	NZ_CP085932.1	2231173	2231247	+	75	1	2	0	0	0	1	0	1	4	0	0	0	0	0	0
LK433_RS10130	NZ_CP085932.1	2394016	2394104	+	89	11	31	47	12	16	37	14	31	7	20	8	14	3	4	2
LK433_RS10160	NZ_CP085932.1	2399884	2399970	+	87	191	182	92	117	114	123	58	480	72	292	26	128	89	52	17
LK433_RS10165	NZ_CP085932.1	2399998	2400069	+	72	125	143	128	103	100	115	34	51	97	96	21	34	50	54	13
LK433_RS10170	NZ_CP085932.1	2400140	2400211	+	72	13	9	18	11	9	13	3	6	1	0	1	4	0	1	0
LK433_RS10390	NZ_CP085932.1	2455234	2455307	-	74	72	116	39	40	37	76	29	75	24	39	8	34	27	6	1
