# Species	Genes	Alg.-Conn.	b_theta_cds.fasta	b_theta_cds_orig.fasta
2	4	0.473	BT_1655,BT_1724	FE838_RS21835,FE838_RS22190
2	3	0.333	BT_1864,BT_3830	FE838_RS08635
2	3	0.333	BT_1868,BT_3827	FE838_RS08615
2	3	0.333	BT_3901,BT_3901a	FE838_RS09000
2	3	0.332	BT_1865,BT_3829	FE838_RS08630
2	2	1	BT_0002	FE838_RS13480
2	2	1	BT_0003	FE838_RS13485
2	2	1	BT_0004	FE838_RS13490
2	2	1	BT_0005	FE838_RS13495
2	2	1	BT_0006	FE838_RS13500
2	2	1	BT_0008	FE838_RS13510
2	2	1	BT_0009	FE838_RS13515
2	2	1	BT_0010	FE838_RS13520
2	2	1	BT_0011	FE838_RS13525
2	2	1	BT_0012	FE838_RS13530
2	2	1	BT_0013	FE838_RS13535
2	2	1	BT_0014	FE838_RS13540
2	2	1	BT_0015	FE838_RS13545
2	2	1	BT_0016	FE838_RS13550
2	2	1	BT_0017	FE838_RS13555
2	2	1	BT_0018	FE838_RS13560
2	2	1	BT_0019	FE838_RS13565
2	2	1	BT_0020	FE838_RS13570
2	2	1	BT_0028	FE838_RS13595
2	2	1	BT_0029	FE838_RS13600
2	2	1	BT_0030	FE838_RS13605
2	2	1	BT_0031	FE838_RS13610
2	2	1	BT_0033	FE838_RS13615
2	2	1	BT_0034	FE838_RS13620
2	2	1	BT_0036	FE838_RS13625
2	2	1	BT_0037	FE838_RS13630
2	2	1	BT_0038	FE838_RS13635
2	2	1	BT_0039	FE838_RS13640
2	2	1	BT_0040	FE838_RS13645
2	2	1	BT_0041	FE838_RS13650
2	2	1	BT_0042	FE838_RS13655
2	2	1	BT_0043	FE838_RS13660
2	2	1	BT_0044	FE838_RS13665
2	2	1	BT_0045	FE838_RS13670
2	2	1	BT_0046	FE838_RS13675
2	2	1	BT_0047	FE838_RS13680
2	2	1	BT_0048	FE838_RS13685
2	2	1	BT_0049	FE838_RS13690
2	2	1	BT_0050	FE838_RS13695
2	2	1	BT_0051	FE838_RS13700
2	2	1	BT_0052	FE838_RS13705
2	2	1	BT_0053	FE838_RS13710
2	2	1	BT_0054	FE838_RS13715
2	2	1	BT_0055	FE838_RS13720
2	2	1	BT_0056	FE838_RS13725
2	2	1	BT_0057	FE838_RS13730
2	2	1	BT_0058	FE838_RS13735
2	2	1	BT_0059	FE838_RS13740
2	2	1	BT_0060	FE838_RS13745
2	2	1	BT_0061	FE838_RS13750
2	2	1	BT_0062	FE838_RS13755
2	2	1	BT_0063	FE838_RS13760
2	2	1	BT_0064	FE838_RS13765
2	2	1	BT_0065	FE838_RS13770
2	2	1	BT_0066	FE838_RS13775
2	2	1	BT_0067	FE838_RS13780
2	2	1	BT_0068	FE838_RS13785
2	2	1	BT_0069	FE838_RS24480
2	2	1	BT_0070	FE838_RS24485
2	2	1	BT_0073	FE838_RS13810
2	2	1	BT_0074	FE838_RS13815
2	2	1	BT_0076	FE838_RS13830
2	2	1	BT_0077	FE838_RS13835
2	2	1	BT_0078	FE838_RS13840
2	2	1	BT_0079	FE838_RS13845
2	2	1	BT_0080	FE838_RS13850
2	2	1	BT_0081	FE838_RS13855
2	2	1	BT_0082	FE838_RS13860
2	2	1	BT_0083	FE838_RS13865
2	2	1	BT_0084	FE838_RS13870
2	2	1	BT_0085	FE838_RS13875
2	2	1	BT_0086	FE838_RS13880
2	2	1	BT_0087	FE838_RS13885
2	2	1	BT_0088	FE838_RS13890
2	2	1	BT_0089	FE838_RS13895
2	2	1	BT_0090	FE838_RS13900
2	2	1	BT_0091	FE838_RS13905
2	2	1	BT_0092	FE838_RS13910
2	2	1	BT_0093	FE838_RS13915
2	2	1	BT_0094	FE838_RS13920
2	2	1	BT_0095	FE838_RS13925
2	2	1	BT_0096	FE838_RS13930
2	2	1	BT_0097	FE838_RS13935
2	2	1	BT_0098	FE838_RS13940
2	2	1	BT_0099	FE838_RS13950
2	2	1	BT_0100	FE838_RS13955
2	2	1	BT_0101	FE838_RS13960
2	2	1	BT_0102	FE838_RS13965
2	2	1	BT_0103	FE838_RS13970
2	2	1	BT_0104	FE838_RS13975
2	2	1	BT_0105	FE838_RS13980
2	2	1	BT_0106	FE838_RS13985
2	2	1	BT_0107	FE838_RS13990
2	2	1	BT_0108	FE838_RS13995
2	2	1	BT_0109	FE838_RS14000
2	2	1	BT_0110	FE838_RS14005
2	2	1	BT_0111	FE838_RS14010
2	2	1	BT_0112	FE838_RS14015
2	2	1	BT_0113	FE838_RS14020
2	2	1	BT_0114	FE838_RS14025
2	2	1	BT_0115	FE838_RS14030
2	2	1	BT_0116	FE838_RS14035
2	2	1	BT_0117	FE838_RS14040
2	2	1	BT_0118	FE838_RS14045
2	2	1	BT_0119	FE838_RS14050
2	2	1	BT_0120	FE838_RS14055
2	2	1	BT_0121	FE838_RS14060
2	2	1	BT_0122	FE838_RS14070
2	2	1	BT_0123	FE838_RS14075
2	2	1	BT_0124	FE838_RS14080
2	2	1	BT_0125	FE838_RS14085
2	2	1	BT_0126	FE838_RS14090
2	2	1	BT_0127	FE838_RS24495
2	2	1	BT_0128	FE838_RS14100
2	2	1	BT_0129	FE838_RS14105
2	2	1	BT_0130	FE838_RS14110
2	2	1	BT_0132	FE838_RS14120
2	2	1	BT_0133	FE838_RS14125
2	2	1	BT_0134	FE838_RS14130
2	2	1	BT_0135	FE838_RS14135
2	2	1	BT_0136	FE838_RS14140
2	2	1	BT_0137	FE838_RS14145
2	2	1	BT_0138	FE838_RS14150
2	2	1	BT_0139	FE838_RS14155
2	2	1	BT_0140	FE838_RS14160
2	2	1	BT_0141	FE838_RS14165
2	2	1	BT_0142	FE838_RS14170
2	2	1	BT_0143	FE838_RS14175
2	2	1	BT_0145	FE838_RS14180
2	2	1	BT_0146	FE838_RS14185
2	2	1	BT_0147	FE838_RS14190
2	2	1	BT_0148	FE838_RS14195
2	2	1	BT_0149	FE838_RS14200
2	2	1	BT_0150	FE838_RS14205
2	2	1	BT_0151	FE838_RS14210
2	2	1	BT_0152	FE838_RS14215
2	2	1	BT_0153	FE838_RS14220
2	2	1	BT_0154	FE838_RS14225
2	2	1	BT_0155	FE838_RS14230
2	2	1	BT_0156	FE838_RS14235
2	2	1	BT_0157	FE838_RS14240
2	2	1	BT_0158	FE838_RS14245
2	2	1	BT_0159	FE838_RS14250
2	2	1	BT_0160	FE838_RS14255
2	2	1	BT_0161	FE838_RS14260
2	2	1	BT_0162	FE838_RS14265
2	2	1	BT_0164	FE838_RS14270
2	2	1	BT_0165	FE838_RS14275
2	2	1	BT_0166	FE838_RS14280
2	2	1	BT_0167	FE838_RS14285
2	2	1	BT_0168	FE838_RS14290
2	2	1	BT_0169	FE838_RS14295
2	2	1	BT_0170	FE838_RS14300
2	2	1	BT_0171	FE838_RS14305
2	2	1	BT_0172	FE838_RS14310
2	2	1	BT_0173	FE838_RS14315
2	2	1	BT_0174	FE838_RS14320
2	2	1	BT_0175	FE838_RS14325
2	2	1	BT_0176	FE838_RS14330
2	2	1	BT_0177	FE838_RS14335
2	2	1	BT_0178	FE838_RS14340
2	2	1	BT_0179	FE838_RS14345
2	2	1	BT_0180	FE838_RS14350
2	2	1	BT_0181	FE838_RS14355
2	2	1	BT_0182	FE838_RS14360
2	2	1	BT_0183	FE838_RS14365
2	2	1	BT_0184	FE838_RS14370
2	2	1	BT_0185	FE838_RS14375
2	2	1	BT_0186	FE838_RS14380
2	2	1	BT_0187	FE838_RS14385
2	2	1	BT_0188	FE838_RS14390
2	2	1	BT_0189	FE838_RS14395
2	2	1	BT_0190	FE838_RS14400
2	2	1	BT_0191	FE838_RS14405
2	2	1	BT_0192	FE838_RS14410
2	2	1	BT_0193	FE838_RS14415
2	2	1	BT_0194	FE838_RS14420
2	2	1	BT_0195	FE838_RS14425
2	2	1	BT_0196	FE838_RS14430
2	2	1	BT_0197	FE838_RS14435
2	2	1	BT_0198	FE838_RS14440
2	2	1	BT_0199	FE838_RS14445
2	2	1	BT_0200	FE838_RS14450
2	2	1	BT_0201	FE838_RS14455
2	2	1	BT_0202	FE838_RS14460
2	2	1	BT_0203	FE838_RS14465
2	2	1	BT_0204	FE838_RS14470
2	2	1	BT_0205	FE838_RS14475
2	2	1	BT_0206	FE838_RS14480
2	2	1	BT_0207	FE838_RS14485
2	2	1	BT_0208	FE838_RS14490
2	2	1	BT_0209	FE838_RS14495
2	2	1	BT_0210	FE838_RS14500
2	2	1	BT_0211	FE838_RS14505
2	2	1	BT_0212	FE838_RS14510
2	2	1	BT_0213	FE838_RS14515
2	2	1	BT_0214	FE838_RS14520
2	2	1	BT_0215	FE838_RS14525
2	2	1	BT_0216	FE838_RS14530
2	2	1	BT_0217	FE838_RS14535
2	2	1	BT_0218	FE838_RS14540
2	2	1	BT_0219	FE838_RS14545
2	2	1	BT_0221	FE838_RS14550
2	2	1	BT_0222	FE838_RS14555
2	2	1	BT_0223	FE838_RS14560
2	2	1	BT_0224	FE838_RS14565
2	2	1	BT_0225	FE838_RS14570
2	2	1	BT_0226	FE838_RS14575
2	2	1	BT_0227	FE838_RS14580
2	2	1	BT_0228	FE838_RS14585
2	2	1	BT_0229	FE838_RS14590
2	2	1	BT_0230	FE838_RS14595
2	2	1	BT_0231	FE838_RS14600
2	2	1	BT_0232	FE838_RS14605
2	2	1	BT_0233	FE838_RS14610
2	2	1	BT_0234	FE838_RS14615
2	2	1	BT_0235	FE838_RS14620
2	2	1	BT_0236	FE838_RS14630
2	2	1	BT_0237	FE838_RS14635
2	2	1	BT_0238	FE838_RS14640
2	2	1	BT_0239	FE838_RS14645
2	2	1	BT_0240	FE838_RS14650
2	2	1	BT_0241	FE838_RS14655
2	2	1	BT_0242	FE838_RS14660
2	2	1	BT_0243	FE838_RS14665
2	2	1	BT_0244	FE838_RS14670
2	2	1	BT_0245	FE838_RS14675
2	2	1	BT_0246	FE838_RS14680
2	2	1	BT_0247	FE838_RS14685
2	2	1	BT_0248	FE838_RS14690
2	2	1	BT_0249	FE838_RS14695
2	2	1	BT_0250	FE838_RS14700
2	2	1	BT_0251	FE838_RS14705
2	2	1	BT_0252	FE838_RS14710
2	2	1	BT_0253	FE838_RS14715
2	2	1	BT_0254	FE838_RS14720
2	2	1	BT_0255	FE838_RS14725
2	2	1	BT_0256	FE838_RS14730
2	2	1	BT_0257	FE838_RS14735
2	2	1	BT_0258	FE838_RS14740
2	2	1	BT_0259	FE838_RS14745
2	2	1	BT_0260	FE838_RS14750
2	2	1	BT_0261	FE838_RS14755
2	2	1	BT_0262	FE838_RS24505
2	2	1	BT_0263	FE838_RS14760
2	2	1	BT_0264	FE838_RS14765
2	2	1	BT_0265	FE838_RS14770
2	2	1	BT_0266	FE838_RS14775
2	2	1	BT_0267	FE838_RS14780
2	2	1	BT_0268	FE838_RS14785
2	2	1	BT_0269	FE838_RS14790
2	2	1	BT_0270	FE838_RS14795
2	2	1	BT_0271	FE838_RS14800
2	2	1	BT_0272	FE838_RS14805
2	2	1	BT_0273	FE838_RS14810
2	2	1	BT_0274	FE838_RS14815
2	2	1	BT_0275	FE838_RS14820
2	2	1	BT_0276	FE838_RS14825
2	2	1	BT_0277	FE838_RS14830
2	2	1	BT_0278	FE838_RS14835
2	2	1	BT_0279	FE838_RS14840
2	2	1	BT_0281	FE838_RS14850
2	2	1	BT_0282	FE838_RS14855
2	2	1	BT_0284	FE838_RS14860
2	2	1	BT_0285	FE838_RS14865
2	2	1	BT_0286	FE838_RS14870
2	2	1	BT_0287	FE838_RS14875
2	2	1	BT_0288	FE838_RS14880
2	2	1	BT_0289	FE838_RS14885
2	2	1	BT_0290	FE838_RS14890
2	2	1	BT_0291	FE838_RS14895
2	2	1	BT_0292	FE838_RS14900
2	2	1	BT_0293	FE838_RS14905
2	2	1	BT_0294	FE838_RS14910
2	2	1	BT_0295	FE838_RS14915
2	2	1	BT_0296	FE838_RS14920
2	2	1	BT_0297	FE838_RS14925
2	2	1	BT_0298	FE838_RS14930
2	2	1	BT_0299	FE838_RS14935
2	2	1	BT_0300	FE838_RS14940
2	2	1	BT_0302	FE838_RS14945
2	2	1	BT_0303	FE838_RS14950
2	2	1	BT_0304	FE838_RS14955
2	2	1	BT_0305	FE838_RS14960
2	2	1	BT_0306	FE838_RS14965
2	2	1	BT_0307	FE838_RS14970
2	2	1	BT_0308	FE838_RS14975
2	2	1	BT_0309	FE838_RS14980
2	2	1	BT_0310	FE838_RS14985
2	2	1	BT_0311	FE838_RS14990
2	2	1	BT_0312	FE838_RS14995
2	2	1	BT_0313	FE838_RS15000
2	2	1	BT_0314	FE838_RS15005
2	2	1	BT_0315	FE838_RS15010
2	2	1	BT_0316	FE838_RS15015
2	2	1	BT_0317	FE838_RS15020
2	2	1	BT_0318	FE838_RS15025
2	2	1	BT_0320	FE838_RS15030
2	2	1	BT_0321	FE838_RS15035
2	2	1	BT_0322	FE838_RS15040
2	2	1	BT_0323	FE838_RS15045
2	2	1	BT_0324	FE838_RS15050
2	2	1	BT_0325	FE838_RS15055
2	2	1	BT_0326	FE838_RS15060
2	2	1	BT_0327	FE838_RS15065
2	2	1	BT_0328	FE838_RS15070
2	2	1	BT_0329	FE838_RS15075
2	2	1	BT_0330	FE838_RS15080
2	2	1	BT_0331	FE838_RS15090
2	2	1	BT_0333	FE838_RS15095
2	2	1	BT_0334	FE838_RS15100
2	2	1	BT_0335	FE838_RS15105
2	2	1	BT_0336	FE838_RS15110
2	2	1	BT_0337	FE838_RS15115
2	2	1	BT_0338	FE838_RS15120
2	2	1	BT_0339	FE838_RS15125
2	2	1	BT_0340	FE838_RS15130
2	2	1	BT_0341	FE838_RS15135
2	2	1	BT_0342	FE838_RS15140
2	2	1	BT_0343	FE838_RS15145
2	2	1	BT_0344	FE838_RS15150
2	2	1	BT_0345	FE838_RS15155
2	2	1	BT_0346	FE838_RS15160
2	2	1	BT_0347	FE838_RS15165
2	2	1	BT_0348	FE838_RS15170
2	2	1	BT_0349	FE838_RS15175
2	2	1	BT_0350	FE838_RS15180
2	2	1	BT_0351	FE838_RS15185
2	2	1	BT_0352	FE838_RS15190
2	2	1	BT_0353	FE838_RS15195
2	2	1	BT_0354	FE838_RS15200
2	2	1	BT_0355	FE838_RS15205
2	2	1	BT_0356	FE838_RS15210
2	2	1	BT_0360	FE838_RS15225
2	2	1	BT_0361	FE838_RS15230
2	2	1	BT_0362	FE838_RS15235
2	2	1	BT_0363	FE838_RS15240
2	2	1	BT_0364	FE838_RS15245
2	2	1	BT_0365	FE838_RS15250
2	2	1	BT_0366	FE838_RS15255
2	2	1	BT_0367	FE838_RS15260
2	2	1	BT_0368	FE838_RS15265
2	2	1	BT_0369	FE838_RS15270
2	2	1	BT_0370	FE838_RS15275
2	2	1	BT_0371	FE838_RS15280
2	2	1	BT_0372	FE838_RS15285
2	2	1	BT_0373	FE838_RS15290
2	2	1	BT_0374	FE838_RS15295
2	2	1	BT_0375	FE838_RS15300
2	2	1	BT_0376	FE838_RS15305
2	2	1	BT_0377	FE838_RS15310
2	2	1	BT_0378	FE838_RS15315
2	2	1	BT_0379	FE838_RS15320
2	2	1	BT_0380	FE838_RS15325
2	2	1	BT_0381	FE838_RS15330
2	2	1	BT_0382	FE838_RS15335
2	2	1	BT_0383	FE838_RS15340
2	2	1	BT_0384	FE838_RS15345
2	2	1	BT_0385	FE838_RS15350
2	2	1	BT_0386	FE838_RS15355
2	2	1	BT_0387	FE838_RS15360
2	2	1	BT_0388	FE838_RS15365
2	2	1	BT_0389	FE838_RS15370
2	2	1	BT_0390	FE838_RS15375
2	2	1	BT_0391	FE838_RS15380
2	2	1	BT_0392	FE838_RS15385
2	2	1	BT_0393	FE838_RS15390
2	2	1	BT_0394	FE838_RS15395
2	2	1	BT_0396	FE838_RS15400
2	2	1	BT_0397	FE838_RS15405
2	2	1	BT_0398	FE838_RS15410
2	2	1	BT_0401	FE838_RS15420
2	2	1	BT_0402	FE838_RS15425
2	2	1	BT_0403	FE838_RS15435
2	2	1	BT_0404	FE838_RS15440
2	2	1	BT_0405	FE838_RS15445
2	2	1	BT_0406	FE838_RS15450
2	2	1	BT_0407	FE838_RS15455
2	2	1	BT_0408	FE838_RS15460
2	2	1	BT_0409	FE838_RS15465
2	2	1	BT_0410	FE838_RS15470
2	2	1	BT_0411	FE838_RS15475
2	2	1	BT_0412	FE838_RS15480
2	2	1	BT_0413	FE838_RS15485
2	2	1	BT_0414	FE838_RS15490
2	2	1	BT_0415	FE838_RS15495
2	2	1	BT_0416	FE838_RS15500
2	2	1	BT_0417	FE838_RS15505
2	2	1	BT_0418	FE838_RS15510
2	2	1	BT_0419	FE838_RS15515
2	2	1	BT_0420	FE838_RS15520
2	2	1	BT_0421	FE838_RS15525
2	2	1	BT_0422	FE838_RS15530
2	2	1	BT_0423	FE838_RS15535
2	2	1	BT_0424	FE838_RS15540
2	2	1	BT_0425	FE838_RS15545
2	2	1	BT_0426	FE838_RS15550
2	2	1	BT_0427	FE838_RS15555
2	2	1	BT_0428	FE838_RS15560
2	2	1	BT_0429	FE838_RS15565
2	2	1	BT_0430	FE838_RS15570
2	2	1	BT_0431	FE838_RS15575
2	2	1	BT_0432	FE838_RS15580
2	2	1	BT_0433	FE838_RS15590
2	2	1	BT_0434	FE838_RS15595
2	2	1	BT_0435	FE838_RS15600
2	2	1	BT_0436	FE838_RS15605
2	2	1	BT_0437	FE838_RS15695
2	2	1	BT_0438	FE838_RS15690
2	2	1	BT_0439	FE838_RS15685
2	2	1	BT_0440	FE838_RS15680
2	2	1	BT_0441	FE838_RS15675
2	2	1	BT_0442	FE838_RS15670
2	2	1	BT_0443	FE838_RS15660
2	2	1	BT_0444	FE838_RS15655
2	2	1	BT_0445	FE838_RS15650
2	2	1	BT_0446	FE838_RS15645
2	2	1	BT_0447	FE838_RS15640
2	2	1	BT_0448	FE838_RS15635
2	2	1	BT_0449	FE838_RS15630
2	2	1	BT_0450	FE838_RS15625
2	2	1	BT_0451	FE838_RS15620
2	2	1	BT_0452	FE838_RS15615
2	2	1	BT_0453	FE838_RS15610
2	2	1	BT_0454	FE838_RS15700
2	2	1	BT_0455	FE838_RS15705
2	2	1	BT_0456	FE838_RS15710
2	2	1	BT_0457	FE838_RS15715
2	2	1	BT_0458	FE838_RS15720
2	2	1	BT_0459	FE838_RS15725
2	2	1	BT_0460	FE838_RS15730
2	2	1	BT_0461	FE838_RS15735
2	2	1	BT_0462	FE838_RS15740
2	2	1	BT_0463	FE838_RS15745
2	2	1	BT_0464	FE838_RS15750
2	2	1	BT_0465	FE838_RS15755
2	2	1	BT_0466	FE838_RS15760
2	2	1	BT_0467	FE838_RS15765
2	2	1	BT_0468	FE838_RS15770
2	2	1	BT_0469	FE838_RS15775
2	2	1	BT_0470	FE838_RS15780
2	2	1	BT_0471	FE838_RS15785
2	2	1	BT_0472	FE838_RS15790
2	2	1	BT_0473	FE838_RS15795
2	2	1	BT_0474	FE838_RS15800
2	2	1	BT_0475	FE838_RS15805
2	2	1	BT_0476	FE838_RS15810
2	2	1	BT_0477	FE838_RS15815
2	2	1	BT_0478	FE838_RS15820
2	2	1	BT_0479	FE838_RS15825
2	2	1	BT_0480	FE838_RS15830
2	2	1	BT_0481	FE838_RS15835
2	2	1	BT_0482	FE838_RS15840
2	2	1	BT_0483	FE838_RS15845
2	2	1	BT_0484	FE838_RS15850
2	2	1	BT_0486	FE838_RS15860
2	2	1	BT_0487	FE838_RS15865
2	2	1	BT_0488	FE838_RS15870
2	2	1	BT_0489	FE838_RS15875
2	2	1	BT_0490	FE838_RS15880
2	2	1	BT_0491	FE838_RS15885
2	2	1	BT_0492	FE838_RS15890
2	2	1	BT_0493	FE838_RS15895
2	2	1	BT_0494	FE838_RS15900
2	2	1	BT_0496	FE838_RS15905
2	2	1	BT_0497	FE838_RS15910
2	2	1	BT_0498	FE838_RS15915
2	2	1	BT_0499	FE838_RS15920
2	2	1	BT_0500	FE838_RS15925
2	2	1	BT_0501	FE838_RS15930
2	2	1	BT_0502	FE838_RS15935
2	2	1	BT_0503	FE838_RS15940
2	2	1	BT_0504	FE838_RS15945
2	2	1	BT_0505	FE838_RS15950
2	2	1	BT_0506	FE838_RS15955
2	2	1	BT_0507	FE838_RS15960
2	2	1	BT_0508	FE838_RS15965
2	2	1	BT_0509	FE838_RS15970
2	2	1	BT_0510	FE838_RS15975
2	2	1	BT_0511	FE838_RS15980
2	2	1	BT_0512	FE838_RS15985
2	2	1	BT_0513	FE838_RS15990
2	2	1	BT_0514	FE838_RS15995
2	2	1	BT_0515	FE838_RS16000
2	2	1	BT_0516	FE838_RS16005
2	2	1	BT_0517	FE838_RS16010
2	2	1	BT_0518	FE838_RS16015
2	2	1	BT_0519	FE838_RS16020
2	2	1	BT_0520	FE838_RS16025
2	2	1	BT_0521	FE838_RS16030
2	2	1	BT_0522	FE838_RS16035
2	2	1	BT_0523	FE838_RS16040
2	2	1	BT_0524	FE838_RS16045
2	2	1	BT_0525	FE838_RS16050
2	2	1	BT_0526	FE838_RS16055
2	2	1	BT_0527	FE838_RS16060
2	2	1	BT_0528	FE838_RS16065
2	2	1	BT_0529	FE838_RS16070
2	2	1	BT_0530	FE838_RS16075
2	2	1	BT_0531	FE838_RS16080
2	2	1	BT_0532	FE838_RS16085
2	2	1	BT_0533	FE838_RS16090
2	2	1	BT_0535	FE838_RS16100
2	2	1	BT_0537	FE838_RS16105
2	2	1	BT_0539	FE838_RS16110
2	2	1	BT_0540	FE838_RS16115
2	2	1	BT_0541	FE838_RS16120
2	2	1	BT_0542	FE838_RS16125
2	2	1	BT_0543	FE838_RS16130
2	2	1	BT_0544	FE838_RS16135
2	2	1	BT_0545	FE838_RS16140
2	2	1	BT_0546	FE838_RS16145
2	2	1	BT_0547	FE838_RS16150
2	2	1	BT_0548	FE838_RS16155
2	2	1	BT_0549	FE838_RS16160
2	2	1	BT_0550	FE838_RS16165
2	2	1	BT_0551	FE838_RS16170
2	2	1	BT_0552	FE838_RS16175
2	2	1	BT_0553	FE838_RS16180
2	2	1	BT_0554	FE838_RS16185
2	2	1	BT_0555	FE838_RS16190
2	2	1	BT_0556	FE838_RS16195
2	2	1	BT_0557	FE838_RS16200
2	2	1	BT_0558	FE838_RS16205
2	2	1	BT_0559	FE838_RS16210
2	2	1	BT_0560	FE838_RS16215
2	2	1	BT_0561	FE838_RS16220
2	2	1	BT_0562	FE838_RS16225
2	2	1	BT_0563	FE838_RS16230
2	2	1	BT_0564	FE838_RS16235
2	2	1	BT_0565	FE838_RS16240
2	2	1	BT_0566	FE838_RS16245
2	2	1	BT_0567	FE838_RS16250
2	2	1	BT_0568	FE838_RS16255
2	2	1	BT_0569	FE838_RS16260
2	2	1	BT_0570	FE838_RS16265
2	2	1	BT_0571	FE838_RS16270
2	2	1	BT_0572	FE838_RS16275
2	2	1	BT_0573	FE838_RS16280
2	2	1	BT_0574	FE838_RS16285
2	2	1	BT_0575	FE838_RS16290
2	2	1	BT_0576	FE838_RS16295
2	2	1	BT_0577	FE838_RS16300
2	2	1	BT_0578	FE838_RS16305
2	2	1	BT_0579	FE838_RS16310
2	2	1	BT_0580	FE838_RS16315
2	2	1	BT_0581	FE838_RS16320
2	2	1	BT_0582	FE838_RS16325
2	2	1	BT_0583	FE838_RS16330
2	2	1	BT_0584	FE838_RS16335
2	2	1	BT_0585	FE838_RS16340
2	2	1	BT_0586	FE838_RS16345
2	2	1	BT_0587	FE838_RS16350
2	2	1	BT_0588	FE838_RS16355
2	2	1	BT_0589	FE838_RS16360
2	2	1	BT_0590	FE838_RS16365
2	2	1	BT_0591	FE838_RS16370
2	2	1	BT_0592	FE838_RS16375
2	2	1	BT_0593	FE838_RS16380
2	2	1	BT_0594	FE838_RS16385
2	2	1	BT_0595	FE838_RS16390
2	2	1	BT_0596	FE838_RS16395
2	2	1	BT_0597	FE838_RS16400
2	2	1	BT_0598	FE838_RS16405
2	2	1	BT_0599	FE838_RS16410
2	2	1	BT_0600	FE838_RS16415
2	2	1	BT_0601	FE838_RS16420
2	2	1	BT_0602	FE838_RS16425
2	2	1	BT_0603	FE838_RS16430
2	2	1	BT_0604	FE838_RS16435
2	2	1	BT_0605	FE838_RS16440
2	2	1	BT_0606	FE838_RS16445
2	2	1	BT_0607	FE838_RS16450
2	2	1	BT_0608	FE838_RS16455
2	2	1	BT_0609	FE838_RS16465
2	2	1	BT_0610	FE838_RS16470
2	2	1	BT_0611	FE838_RS16480
2	2	1	BT_0612	FE838_RS16485
2	2	1	BT_0613	FE838_RS16490
2	2	1	BT_0614	FE838_RS16495
2	2	1	BT_0615	FE838_RS16500
2	2	1	BT_0616	FE838_RS16510
2	2	1	BT_0617	FE838_RS16515
2	2	1	BT_0618	FE838_RS16520
2	2	1	BT_0619	FE838_RS16525
2	2	1	BT_0620	FE838_RS16530
2	2	1	BT_0621	FE838_RS16535
2	2	1	BT_0622	FE838_RS16540
2	2	1	BT_0623	FE838_RS16545
2	2	1	BT_0624	FE838_RS16550
2	2	1	BT_0625	FE838_RS16555
2	2	1	BT_0626	FE838_RS16560
2	2	1	BT_0627	FE838_RS16565
2	2	1	BT_0628	FE838_RS16570
2	2	1	BT_0629	FE838_RS16575
2	2	1	BT_0630	FE838_RS16580
2	2	1	BT_0631	FE838_RS16585
2	2	1	BT_0631a	FE838_RS16590
2	2	1	BT_0632	FE838_RS16595
2	2	1	BT_0633	FE838_RS16600
2	2	1	BT_0634	FE838_RS16605
2	2	1	BT_0635	FE838_RS16610
2	2	1	BT_0636	FE838_RS16615
2	2	1	BT_0637	FE838_RS16620
2	2	1	BT_0638	FE838_RS16625
2	2	1	BT_0639	FE838_RS16630
2	2	1	BT_0640	FE838_RS16635
2	2	1	BT_0641	FE838_RS16640
