# Program:featureCounts v2.0.1; Command:"featureCounts" "-T" "5" "-t" "CDS,sRNA" "-g" "locus_tag" "-a" "../data/reference_sequences/p_copri_wplasmids.gff3" "-o" "../data/rna_align/counttable.txt" "../data/rna_align/CON_1.fq.gz.bam" "../data/rna_align/CON_2.fq.gz.bam" "../data/rna_align/PNA_1.fq.gz.bam" "../data/rna_align/PNA_2.fq.gz.bam" 
Geneid	Chr	Start	End	Strand	Length	../data/rna_align/CON_1.fq.gz.bam	../data/rna_align/CON_2.fq.gz.bam	../data/rna_align/PNA_1.fq.gz.bam	../data/rna_align/PNA_2.fq.gz.bam
LK433_RS00255	NZ_CP085932.1	76090	77283	-	1194	1544	2856	1593	779
LK433_RS00260	NZ_CP085932.1	77322	78161	-	840	681	1347	585	369
LK433_RS00265	NZ_CP085932.1	78167	79327	-	1161	1740	3257	1285	722
LK433_RS00270	NZ_CP085932.1	79478	80050	-	573	2888	5583	2625	1024
LK433_RS00275	NZ_CP085932.1	80199	80441	-	243	264	534	239	123
LK433_RS00280	NZ_CP085932.1	80452	80991	-	540	589	1188	740	335
LK433_RS00285	NZ_CP085932.1	81158	82672	+	1515	1001	1839	2933	1595
LK433_RS00290	NZ_CP085932.1	82872	83879	-	1008	417	778	1244	653
LK433_RS00295	NZ_CP085932.1	84368	84952	+	585	2928	6120	1896	727
LK433_RS00300	NZ_CP085932.1	84965	86392	+	1428	7857	14912	3346	1609
LK433_RS00305	NZ_CP085932.1	86553	88013	+	1461	46033	85029	6878	2961
LK433_RS00310	NZ_CP085932.1	88354	89469	+	1116	3998	6836	1046	463
LK433_RS00315	NZ_CP085932.1	89503	91248	+	1746	5405	9892	1379	653
LK433_RS00320	NZ_CP085932.1	91273	93165	+	1893	6248	11562	1522	768
LK433_RS00325	NZ_CP085932.1	93180	95060	+	1881	7240	13254	1910	941
LK433_RS00330	NZ_CP085932.1	95784	96593	+	810	437	845	698	233
LK433_RS00335	NZ_CP085932.1	96760	97242	-	483	1530	3458	5498	2424
LK433_RS00340	NZ_CP085932.1	97698	98711	-	1014	42832	83349	65837	32659
LK433_RS00345	NZ_CP085932.1	98972	100192	-	1221	482	1033	496	247
LK433_RS00350	NZ_CP085932.1	100478	103519	-	3042	1446	2658	1283	496
LK433_RS00355	NZ_CP085932.1	103681	103794	+	114	10	17	22	11
LK433_RS00360	NZ_CP085932.1	103798	104004	+	207	21	24	25	19
LK433_RS00365	NZ_CP085932.1	104149	104973	-	825	1017	2222	4299	2304
LK433_RS00370	NZ_CP085932.1	105150	105641	-	492	9979	18608	9947	4830
LK433_RS00375	NZ_CP085932.1	105673	106668	-	996	18471	37090	15233	8621
LK433_RS00380	NZ_CP085932.1	106681	107286	-	606	12295	23230	9288	5381
LK433_RS00385	NZ_CP085932.1	107344	107733	-	390	8318	15773	6332	3609
LK433_RS00390	NZ_CP085932.1	107755	108135	-	381	9774	18037	7720	4061
LK433_RS00395	NZ_CP085932.1	108235	108351	-	117	1502	3977	1326	883
LK433_RS00400	NZ_CP085932.1	108369	108587	-	219	3630	6899	2799	1608
LK433_RS00405	NZ_CP085932.1	108876	110213	-	1338	23375	48787	21337	11769
LK433_RS00410	NZ_CP085932.1	110218	110664	-	447	11159	21375	9719	5581
LK433_RS00415	NZ_CP085932.1	110691	110867	-	177	3028	6902	2594	1675
LK433_RS00420	NZ_CP085932.1	110884	111396	-	513	10243	19468	8867	5382
LK433_RS00425	NZ_CP085932.1	111403	111747	-	345	9557	17191	7907	4699
LK433_RS00430	NZ_CP085932.1	111766	112338	-	573	11591	25956	9930	6310
LK433_RS00435	NZ_CP085932.1	112353	112748	-	396	8378	17185	7026	4233
LK433_RS00440	NZ_CP085932.1	112823	113125	-	303	5005	11740	4402	2830
LK433_RS00445	NZ_CP085932.1	113131	113685	-	555	10152	19509	8338	4874
LK433_RS00450	NZ_CP085932.1	113685	114002	-	318	7888	15495	6520	4089
LK433_RS00455	NZ_CP085932.1	114023	114388	-	366	7147	13476	6043	3509
LK433_RS00460	NZ_CP085932.1	114391	114648	-	258	6556	11258	4932	2983
LK433_RS00465	NZ_CP085932.1	114660	114854	-	195	2583	4918	1982	1268
LK433_RS00470	NZ_CP085932.1	114857	115285	-	429	10075	19807	8730	4807
LK433_RS00475	NZ_CP085932.1	115302	116033	-	732	15106	29532	12177	7089
LK433_RS00480	NZ_CP085932.1	116043	116447	-	405	11399	21525	8854	5404
LK433_RS00485	NZ_CP085932.1	116483	116749	-	267	5704	10848	4280	2689
LK433_RS00490	NZ_CP085932.1	116760	117587	-	828	19142	35607	15819	9364
LK433_RS00495	NZ_CP085932.1	117596	117889	-	294	7662	13518	6015	3692
LK433_RS00500	NZ_CP085932.1	117907	118536	-	630	9389	17922	7133	4099
LK433_RS00505	NZ_CP085932.1	118536	119150	-	615	15956	31111	12088	7102
LK433_RS00510	NZ_CP085932.1	119170	119475	-	306	6436	14337	4805	3016
LK433_RS00515	NZ_CP085932.1	119588	121702	-	2115	48018	91828	36908	22396
LK433_RS00520	NZ_CP085932.1	121730	122206	-	477	11289	24155	9270	5218
LK433_RS00525	NZ_CP085932.1	122388	122768	-	381	8024	16521	7749	3611
LK433_RS00530	NZ_CP085932.1	123012	123338	-	327	627	1076	870	223
LK433_RS00535	NZ_CP085932.1	123572	127906	-	4335	19120	35802	18632	11303
LK433_RS00540	NZ_CP085932.1	127938	131750	-	3813	15547	29815	13842	8173
LK433_RS00545	NZ_CP085932.1	131862	132239	-	378	23552	42918	24055	10151
LK433_RS00550	NZ_CP085932.1	132296	132814	-	519	16541	33308	12625	7378
LK433_RS00555	NZ_CP085932.1	132833	133525	-	693	29517	55413	22220	12677
LK433_RS00560	NZ_CP085932.1	133547	133987	-	441	16189	34886	13109	7203
LK433_RS00565	NZ_CP085932.1	134046	134588	-	543	19084	40632	17380	8283
LK433_RS00570	NZ_CP085932.1	134602	134790	-	189	4470	11492	4411	2095
LK433_RS00580	NZ_CP085932.1	134943	136139	-	1197	152553	291738	123347	70287
LK433_RS00605	NZ_CP085932.1	136651	136950	-	300	4315	9475	9339	4245
LK433_RS00610	NZ_CP085932.1	136974	137855	-	882	14950	29471	17856	7947
LK433_RS00615	NZ_CP085932.1	137939	138130	-	192	5064	10545	5178	2256
LK433_RS00620	NZ_CP085932.1	138267	140054	-	1788	401	673	560	207
LK433_RS00625	NZ_CP085932.1	140302	141294	+	993	23816	45853	38290	19701
LK433_RS00630	NZ_CP085932.1	141515	142369	+	855	1032	1917	1434	681
LK433_RS00635	NZ_CP085932.1	142633	143835	+	1203	969	1830	1220	743
LK433_RS00640	NZ_CP085932.1	143889	144413	+	525	664	1255	1104	552
LK433_RS00645	NZ_CP085932.1	144515	145774	-	1260	1464	2760	328	114
LK433_RS00650	NZ_CP085932.1	145879	147396	-	1518	3005	5846	459	157
LK433_RS00655	NZ_CP085932.1	147515	149614	+	2100	773	1487	834	281
LK433_RS00660	NZ_CP085932.1	149804	151414	+	1611	900	1635	554	189
LK433_RS00665	NZ_CP085932.1	151540	153810	-	2271	1195	2281	2952	1491
LK433_RS00670	NZ_CP085932.1	153982	154596	-	615	1150	2222	1165	391
LK433_RS00675	NZ_CP085932.1	154625	155683	-	1059	620	1201	688	303
LK433_RS00680	NZ_CP085932.1	155797	156882	-	1086	696	1205	630	306
LK433_RS00685	NZ_CP085932.1	156922	157653	-	732	517	962	483	214
LK433_RS00690	NZ_CP085932.1	157659	159119	-	1461	946	1880	883	419
LK433_RS00695	NZ_CP085932.1	159158	160120	-	963	407	719	448	224
LK433_RS00700	NZ_CP085932.1	160191	160412	-	222	276	548	797	232
LK433_RS00705	NZ_CP085932.1	160506	160985	-	480	95	232	236	57
LK433_RS00725	NZ_CP085932.1	167302	167607	+	306	19	23	49	14
LK433_RS00730	NZ_CP085932.1	167757	168500	+	744	2358	5088	13863	5661
LK433_RS00735	NZ_CP085932.1	168787	169806	-	1020	209	455	546	205
LK433_RS00740	NZ_CP085932.1	169935	171263	-	1329	2998	5656	4376	2299
LK433_RS00745	NZ_CP085932.1	171595	172083	+	489	347	617	986	338
LK433_RS00750	NZ_CP085932.1	172173	172784	+	612	816	1684	2106	966
LK433_RS00755	NZ_CP085932.1	172861	174063	+	1203	2793	5208	6188	3380
LK433_RS00760	NZ_CP085932.1	174065	175066	+	1002	1519	2940	3420	1936
LK433_RS00765	NZ_CP085932.1	175176	176318	+	1143	1948	3800	4965	2441
LK433_RS00770	NZ_CP085932.1	176660	177028	+	369	27	43	116	25
LK433_RS00775	NZ_CP085932.1	177034	177555	+	522	33	60	133	20
LK433_RS00780	NZ_CP085932.1	177568	178626	+	1059	93	178	292	93
LK433_RS00785	NZ_CP085932.1	178648	180723	+	2076	101	180	409	157
LK433_RS00790	NZ_CP085932.1	180848	181630	+	783	383	615	434	160
LK433_RS00795	NZ_CP085932.1	181827	182381	+	555	501	882	645	355
LK433_RS00800	NZ_CP085932.1	182392	184050	+	1659	1223	2193	1485	840
LK433_RS00805	NZ_CP085932.1	184119	184898	+	780	435	726	498	253
LK433_RS00810	NZ_CP085932.1	184913	185352	+	440	159	366	278	135
LK433_RS00815	NZ_CP085932.1	185445	185867	+	423	213	388	395	133
LK433_RS00820	NZ_CP085932.1	186080	186853	+	774	1843	3679	4674	1751
LK433_RS00825	NZ_CP085932.1	187071	189251	-	2181	137	240	503	155
LK433_RS00830	NZ_CP085932.1	189316	191580	-	2265	105	176	477	157
LK433_RS00835	NZ_CP085932.1	191926	193542	+	1617	383	651	879	286
LK433_RS00840	NZ_CP085932.1	193820	195238	+	1419	288	503	576	225
LK433_RS00845	NZ_CP085932.1	196170	196640	+	471	133	277	311	105
LK433_RS00850	NZ_CP085932.1	197197	198483	+	1287	955	1966	1329	658
LK433_RS00855	NZ_CP085932.1	198644	199606	+	963	1251	2466	1859	898
LK433_RS00860	NZ_CP085932.1	199788	200855	+	1068	264	604	521	182
LK433_RS00865	NZ_CP085932.1	200874	201152	-	279	78	154	170	46
LK433_RS00870	NZ_CP085932.1	201534	201671	-	138	68	121	131	50
LK433_RS00875	NZ_CP085932.1	201950	203098	-	1149	1387	2718	2349	1365
LK433_RS00880	NZ_CP085932.1	203264	204259	-	996	2403	4558	4376	2372
LK433_RS00885	NZ_CP085932.1	204265	205323	-	1059	1348	2528	2000	1217
LK433_RS00890	NZ_CP085932.1	205472	206206	-	735	669	1261	1279	564
LK433_RS00895	NZ_CP085932.1	206433	206588	-	156	240	497	572	134
LK433_RS00900	NZ_CP085932.1	206810	207376	+	567	6562	12589	7020	3160
LK433_RS00905	NZ_CP085932.1	207440	208498	+	1059	3193	5985	3288	1581
LK433_RS00910	NZ_CP085932.1	208551	209240	+	690	209	382	402	84
LK433_RS00915	NZ_CP085932.1	209342	209662	+	321	303	540	423	166
LK433_RS00920	NZ_CP085932.1	209724	210488	+	765	665	1292	983	368
LK433_RS00925	NZ_CP085932.1	210628	211674	-	1047	469	921	791	400
LK433_RS00930	NZ_CP085932.1	211760	212962	-	1203	2556	4640	3688	2246
LK433_RS00935	NZ_CP085932.1	213008	214054	-	1047	1738	3196	2841	1607
LK433_RS00940	NZ_CP085932.1	214300	215070	-	771	299	626	1021	689
LK433_RS00945	NZ_CP085932.1	215067	215912	-	846	404	879	1552	1056
LK433_RS00950	NZ_CP085932.1	216369	216590	-	222	97	274	442	316
LK433_RS00955	NZ_CP085932.1	216734	218035	+	1302	1635	3087	1945	1167
LK433_RS00960	NZ_CP085932.1	218376	219497	-	1122	324	590	650	263
LK433_RS00965	NZ_CP085932.1	219748	220317	-	570	276	643	407	192
LK433_RS00970	NZ_CP085932.1	220317	221192	-	876	488	1062	535	297
LK433_RS00975	NZ_CP085932.1	221456	222727	-	1272	330	623	606	295
LK433_RS00980	NZ_CP085932.1	222939	223901	-	963	279	565	768	320
LK433_RS00985	NZ_CP085932.1	223997	224479	-	483	206	443	244	74
LK433_RS00990	NZ_CP085932.1	224526	225263	-	738	229	445	192	79
LK433_RS00995	NZ_CP085932.1	225275	227362	-	2088	940	1866	746	260
LK433_RS01000	NZ_CP085932.1	227394	229442	-	2049	868	1500	719	239
LK433_RS01005	NZ_CP085932.1	229464	232145	-	2682	1106	2022	815	318
LK433_RS01010	NZ_CP085932.1	232145	233725	-	1581	606	1175	369	126
LK433_RS01015	NZ_CP085932.1	233744	234646	-	903	332	611	242	100
LK433_RS01020	NZ_CP085932.1	234662	236188	-	1527	600	1175	464	128
LK433_RS01025	NZ_CP085932.1	236207	239143	-	2937	1227	2175	807	255
LK433_RS01030	NZ_CP085932.1	240144	243023	-	2880	1339	2515	1648	714
LK433_RS01035	NZ_CP085932.1	243166	245616	-	2451	147	248	530	162
LK433_RS01040	NZ_CP085932.1	245621	246715	-	1095	45	96	240	68
LK433_RS01045	NZ_CP085932.1	246734	248143	-	1410	77	158	366	75
LK433_RS01050	NZ_CP085932.1	248156	249841	-	1686	142	197	563	127
LK433_RS01055	NZ_CP085932.1	249887	252853	-	2967	137	251	595	149
LK433_RS01060	NZ_CP085932.1	253054	255378	-	2325	157	273	395	128
LK433_RS01065	NZ_CP085932.1	255396	255752	-	357	21	44	70	18
LK433_RS01080	NZ_CP085932.1	256379	257221	+	843	121	263	493	137
LK433_RS01085	NZ_CP085932.1	257258	258613	-	1356	517	1062	537	231
LK433_RS01090	NZ_CP085932.1	258707	260071	-	1365	452	912	447	150
LK433_RS01095	NZ_CP085932.1	260238	260738	-	501	154	305	217	98
LK433_RS01100	NZ_CP085932.1	260743	260892	-	150	102	220	124	59
LK433_RS01105	NZ_CP085932.1	260914	262041	-	1128	1534	2706	1542	884
LK433_RS01110	NZ_CP085932.1	262074	263882	-	1809	1897	3557	1829	961
LK433_RS01115	NZ_CP085932.1	264012	265076	+	1065	253	408	408	166
LK433_RS01120	NZ_CP085932.1	265180	265311	-	132	27	46	67	25
LK433_RS01125	NZ_CP085932.1	265436	265654	-	219	34	57	101	39
LK433_RS01130	NZ_CP085932.1	265921	266814	+	894	105	233	362	141
LK433_RS01135	NZ_CP085932.1	266899	267942	+	1044	107	251	311	111
LK433_RS01140	NZ_CP085932.1	268084	268671	-	588	80	143	193	81
LK433_RS01145	NZ_CP085932.1	268815	270203	+	1389	188	403	769	274
LK433_RS01150	NZ_CP085932.1	271289	271702	+	414	127	292	632	314
LK433_RS01155	NZ_CP085932.1	271915	272061	+	147	101	247	396	236
LK433_RS01160	NZ_CP085932.1	272137	272343	+	207	131	291	405	252
LK433_RS01165	NZ_CP085932.1	272597	274378	-	1782	2661	4787	7232	4699
LK433_RS01170	NZ_CP085932.1	274429	275343	-	915	1092	1898	3215	1793
LK433_RS01175	NZ_CP085932.1	275381	277231	-	1851	1715	3283	5348	3231
LK433_RS01180	NZ_CP085932.1	277274	277711	-	438	425	820	1634	761
LK433_RS01185	NZ_CP085932.1	277880	279217	+	1338	779	1418	775	343
LK433_RS01190	NZ_CP085932.1	279537	280532	-	996	1152	2225	395	158
LK433_RS01195	NZ_CP085932.1	280605	281432	-	828	1034	2060	339	156
LK433_RS01200	NZ_CP085932.1	281789	282703	+	915	914	1578	798	394
LK433_RS01205	NZ_CP085932.1	282700	283206	+	507	354	654	301	139
LK433_RS01210	NZ_CP085932.1	283203	285362	+	2160	2375	4467	1985	1071
LK433_RS01215	NZ_CP085932.1	285445	286908	+	1464	3211	5872	1991	1260
LK433_RS01220	NZ_CP085932.1	286933	288201	+	1269	1982	3667	1437	772
LK433_RS01225	NZ_CP085932.1	288245	289582	+	1338	2837	5081	1977	1084
LK433_RS01230	NZ_CP085932.1	289621	290898	+	1278	1669	3290	1159	670
LK433_RS01235	NZ_CP085932.1	290990	292096	+	1107	2163	3917	2680	1584
LK433_RS01240	NZ_CP085932.1	292096	293472	+	1377	2718	4649	3663	1996
LK433_RS01245	NZ_CP085932.1	293473	294267	+	795	1054	1972	1423	715
LK433_RS01250	NZ_CP085932.1	294307	295752	+	1446	2795	4998	3479	1945
LK433_RS01255	NZ_CP085932.1	295842	297173	+	1332	3229	6119	4453	2557
LK433_RS01260	NZ_CP085932.1	297236	297961	-	726	272	443	710	179
LK433_RS01265	NZ_CP085932.1	298195	298449	+	255	2890	5528	4817	1414
LK433_RS01270	NZ_CP085932.1	298757	300727	+	1971	5942	11163	8304	4144
LK433_RS01275	NZ_CP085932.1	300816	303188	+	2373	1151	2059	1565	688
LK433_RS01280	NZ_CP085932.1	303203	304096	+	894	218	334	325	170
LK433_RS01285	NZ_CP085932.1	304179	304814	-	636	286	541	375	164
LK433_RS01290	NZ_CP085932.1	304907	305572	-	666	1033	2077	970	627
LK433_RS01295	NZ_CP085932.1	305675	307198	-	1524	12355	22022	13657	7874
LK433_RS01300	NZ_CP085932.1	307364	309715	-	2352	700	1373	1121	654
LK433_RS01305	NZ_CP085932.1	310129	311130	+	1002	300	639	3954	1611
LK433_RS01310	NZ_CP085932.1	311390	312160	-	771	3111	6053	14956	3597
LK433_RS01315	NZ_CP085932.1	312257	312967	-	711	93	194	1000	643
LK433_RS01320	NZ_CP085932.1	313004	314404	-	1401	150	256	1617	924
LK433_RS01325	NZ_CP085932.1	314684	315646	-	963	47	94	186	65
LK433_RS01330	NZ_CP085932.1	315693	316784	-	1092	44	86	179	65
LK433_RS01335	NZ_CP085932.1	316855	318288	-	1434	80	120	316	80
LK433_RS01340	NZ_CP085932.1	318354	319559	-	1206	35	86	220	78
LK433_RS01345	NZ_CP085932.1	319811	323731	+	3921	766	1449	1409	536
LK433_RS01350	NZ_CP085932.1	323815	325821	+	2007	175	311	432	177
LK433_RS01355	NZ_CP085932.1	325814	327460	+	1647	119	170	349	104
LK433_RS01360	NZ_CP085932.1	327717	330800	+	3084	182	233	597	155
LK433_RS01365	NZ_CP085932.1	330813	332756	+	1944	81	161	374	111
LK433_RS01370	NZ_CP085932.1	332987	333379	+	393	17	37	118	21
LK433_RS01375	NZ_CP085932.1	333659	334978	+	1320	203	416	453	194
LK433_RS01380	NZ_CP085932.1	335348	338572	+	3225	26427	49808	901	415
LK433_RS01385	NZ_CP085932.1	338604	340286	+	1683	14100	25325	527	220
LK433_RS01390	NZ_CP085932.1	340318	341148	+	831	6920	13242	334	146
LK433_RS01395	NZ_CP085932.1	341174	341500	-	327	20	42	42	11
LK433_RS01400	NZ_CP085932.1	341633	341953	-	321	8	11	39	10
LK433_RS01405	NZ_CP085932.1	342946	343089	+	144	101	266	334	162
LK433_RS01410	NZ_CP085932.1	343092	343712	+	621	486	898	1356	572
LK433_RS01415	NZ_CP085932.1	344016	345773	-	1758	2041	4033	2631	1274
LK433_RS01420	NZ_CP085932.1	346003	346302	+	300	111	177	200	73
LK433_RS01425	NZ_CP085932.1	346283	346522	+	240	70	127	98	44
LK433_RS01430	NZ_CP085932.1	346536	346796	+	261	71	151	149	50
LK433_RS01435	NZ_CP085932.1	346837	347343	+	507	236	492	373	133
LK433_RS01440	NZ_CP085932.1	347737	347973	+	237	25	52	46	18
LK433_RS01445	NZ_CP085932.1	347980	348246	+	267	88	198	187	68
LK433_RS01450	NZ_CP085932.1	348562	349740	+	1179	373	799	654	333
LK433_RS01455	NZ_CP085932.1	349789	350355	-	567	670	1274	883	297
LK433_RS01460	NZ_CP085932.1	350530	351516	+	987	694	1394	1068	523
LK433_RS01465	NZ_CP085932.1	351618	352925	-	1308	1067	2110	925	414
LK433_RS01470	NZ_CP085932.1	353331	355268	+	1938	3553	6360	6377	3257
LK433_RS01475	NZ_CP085932.1	355288	355755	-	468	258	607	1139	451
LK433_RS01480	NZ_CP085932.1	355974	357110	+	1137	508	1014	1186	494
LK433_RS01485	NZ_CP085932.1	357189	360674	+	3486	1207	2185	2378	1036
LK433_RS01490	NZ_CP085932.1	360863	361330	+	468	1186	2274	3255	1023
LK433_RS01495	NZ_CP085932.1	361516	361917	+	402	596	1133	1485	473
LK433_RS01500	NZ_CP085932.1	361998	363086	-	1089	1400	2914	10144	4878
LK433_RS01510	NZ_CP085932.1	363653	365209	+	1557	453	792	503	162
LK433_RS01515	NZ_CP085932.1	365713	365946	+	234	46	96	99	18
LK433_RS01520	NZ_CP085932.1	366056	367762	+	1707	989	1931	2905	1213
LK433_RS01525	NZ_CP085932.1	367974	370991	+	3018	156	296	620	180
LK433_RS01530	NZ_CP085932.1	371012	373090	+	2079	120	147	432	122
LK433_RS01535	NZ_CP085932.1	373111	375330	+	2220	141	217	478	137
LK433_RS01540	NZ_CP085932.1	375530	376138	-	609	254	474	417	196
LK433_RS01545	NZ_CP085932.1	376819	378033	-	1215	2014	3242	2332	1248
LK433_RS01550	NZ_CP085932.1	378169	379512	-	1344	2257	4022	3212	1614
LK433_RS01555	NZ_CP085932.1	379527	380282	-	756	1350	2262	1474	803
LK433_RS01560	NZ_CP085932.1	380326	381777	-	1452	2638	4671	3062	1627
LK433_RS01565	NZ_CP085932.1	381916	384759	-	2844	11946	21439	11068	7146
LK433_RS01570	NZ_CP085932.1	384821	386083	-	1263	4170	7991	4003	2409
LK433_RS01575	NZ_CP085932.1	386087	386554	-	468	1385	2600	1410	768
LK433_RS01580	NZ_CP085932.1	386708	388372	-	1665	1756	3565	3932	1760
LK433_RS01595	NZ_CP085932.1	389028	391346	-	2319	26577	49306	19111	12036
LK433_RS01600	NZ_CP085932.1	391543	392721	+	1179	2746	5031	6136	2266
LK433_RS01605	NZ_CP085932.1	392903	394357	+	1455	1139	2191	1858	944
LK433_RS01610	NZ_CP085932.1	394476	395003	+	528	125	239	200	117
LK433_RS01615	NZ_CP085932.1	395129	397459	+	2331	5482	10166	9230	5153
LK433_RS01620	NZ_CP085932.1	397491	398018	+	528	996	1708	1735	969
LK433_RS01625	NZ_CP085932.1	398088	399980	+	1893	3500	6274	5161	2915
LK433_RS01630	NZ_CP085932.1	400062	400832	+	771	1144	2122	1758	974
LK433_RS01635	NZ_CP085932.1	400953	401468	+	516	2581	4917	4221	2356
LK433_RS01640	NZ_CP085932.1	401458	401958	+	501	2161	4239	5084	2459
LK433_RS01645	NZ_CP085932.1	402629	403507	-	879	139	268	461	208
LK433_RS01650	NZ_CP085932.1	403588	404421	-	834	525	1047	1195	709
LK433_RS01655	NZ_CP085932.1	404472	405410	-	939	493	951	1071	603
LK433_RS01660	NZ_CP085932.1	405456	408095	-	2640	1485	2890	2682	1591
LK433_RS01670	NZ_CP085932.1	409268	409471	+	204	102	237	357	125
LK433_RS01675	NZ_CP085932.1	409476	413798	+	4323	1265	2672	3706	1555
LK433_RS01680	NZ_CP085932.1	413801	414886	+	1086	198	303	451	239
LK433_RS01685	NZ_CP085932.1	415349	415792	+	444	58	143	243	105
LK433_RS01690	NZ_CP085932.1	415852	416358	+	507	78	122	198	77
LK433_RS01695	NZ_CP085932.1	416362	418428	+	2067	299	426	697	292
LK433_RS01700	NZ_CP085932.1	418460	419362	+	903	88	118	213	94
LK433_RS01705	NZ_CP085932.1	419432	419842	-	411	24	41	91	38
LK433_RS01710	NZ_CP085932.1	419847	420500	-	654	39	72	167	69
LK433_RS01715	NZ_CP085932.1	420537	421145	-	609	56	73	130	66
LK433_RS01720	NZ_CP085932.1	421142	421378	-	237	12	32	35	37
LK433_RS01725	NZ_CP085932.1	421385	422497	-	1113	93	133	327	145
LK433_RS01730	NZ_CP085932.1	422494	422958	-	465	19	42	99	26
